role,board,sample,timestamp_ms,core_frame_valid,frame_valid,boot_generation,cpu_reset_count,wr_core_reset_count,si_config_reset_count,wrc_mode,ptp_state,ptp_state_name,pd_state,ext_state,parent_is_wrnode,parent_mode_on,parent_calibrated,wr_state_value,wr_state_name,wr_failure_low16,wr_failure_reason,wr_failure_reason_name,wr_disable_valid,wr_disable_cause,terminal_state,terminal_history_valid,terminal_candidate,terminal_streak,reported_terminal_streak,upstream_full_pass,upstream_pass_streak,reported_upstream_pass_streak,adjacent_same_generation,timestamp_gap_ms,f4d_generation_changed,f4d_reset_changed,f4d_stop_reason,f4d_stop_role,ptp_rx_count,ptp_tx_count,wr_rx_signal,wr_tx_signal
MASTER,DE5 [1-11.1],1,242,0,0,,,,,-1(UNKNOWN),-1,-1(UNKNOWN),-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,UNKNOWN,0,0,0,0,0,0,0,0,,0,0,NONE,NONE,TIMEOUT,TIMEOUT,"TIMEOUT(id=-1:UNKNOWN,count=-1)","TIMEOUT(id=-1:UNKNOWN,count=-1)"
MASTER,DE5 [1-11.1],2,1357,0,0,,,,,-1(UNKNOWN),-1,-1(UNKNOWN),-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,UNKNOWN,0,0,0,0,0,0,0,0,1115,0,0,NONE,NONE,TIMEOUT,TIMEOUT,"TIMEOUT(id=-1:UNKNOWN,count=-1)","TIMEOUT(id=-1:UNKNOWN,count=-1)"
MASTER,DE5 [1-11.1],3,2472,0,0,,,,,-1(UNKNOWN),-1,-1(UNKNOWN),-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,UNKNOWN,0,0,0,0,0,0,0,0,1115,0,0,NONE,NONE,TIMEOUT,TIMEOUT,"TIMEOUT(id=-1:UNKNOWN,count=-1)","TIMEOUT(id=-1:UNKNOWN,count=-1)"
MASTER,DE5 [1-11.1],4,3587,0,0,,,,,-1(UNKNOWN),-1,-1(UNKNOWN),-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,UNKNOWN,0,0,0,0,0,0,0,0,1115,0,0,NONE,NONE,TIMEOUT,TIMEOUT,"TIMEOUT(id=-1:UNKNOWN,count=-1)","TIMEOUT(id=-1:UNKNOWN,count=-1)"
MASTER,DE5 [1-11.1],5,4702,0,0,,,,,-1(UNKNOWN),-1,-1(UNKNOWN),-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,UNKNOWN,0,0,0,0,0,0,0,0,1115,0,0,NONE,NONE,TIMEOUT,TIMEOUT,"TIMEOUT(id=-1:UNKNOWN,count=-1)","TIMEOUT(id=-1:UNKNOWN,count=-1)"
MASTER,DE5 [1-11.1],6,5817,0,0,,,,,-1(UNKNOWN),-1,-1(UNKNOWN),-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,UNKNOWN,0,0,0,0,0,0,0,0,1115,0,0,NONE,NONE,TIMEOUT,TIMEOUT,"TIMEOUT(id=-1:UNKNOWN,count=-1)","TIMEOUT(id=-1:UNKNOWN,count=-1)"
MASTER,DE5 [1-11.1],7,6930,0,0,,,,,-1(UNKNOWN),-1,-1(UNKNOWN),-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,UNKNOWN,0,0,0,0,0,0,0,0,1113,0,0,NONE,NONE,TIMEOUT,TIMEOUT,"TIMEOUT(id=-1:UNKNOWN,count=-1)","TIMEOUT(id=-1:UNKNOWN,count=-1)"
MASTER,DE5 [1-11.1],8,8045,0,0,,,,,-1(UNKNOWN),-1,-1(UNKNOWN),-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,UNKNOWN,0,0,0,0,0,0,0,0,1115,0,0,NONE,NONE,TIMEOUT,TIMEOUT,"TIMEOUT(id=-1:UNKNOWN,count=-1)","TIMEOUT(id=-1:UNKNOWN,count=-1)"
MASTER,DE5 [1-11.1],9,9160,0,0,,,,,-1(UNKNOWN),-1,-1(UNKNOWN),-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,UNKNOWN,0,0,0,0,0,0,0,0,1115,0,0,NONE,NONE,TIMEOUT,TIMEOUT,"TIMEOUT(id=-1:UNKNOWN,count=-1)","TIMEOUT(id=-1:UNKNOWN,count=-1)"
MASTER,DE5 [1-11.1],10,10273,0,0,,,,,-1(UNKNOWN),-1,-1(UNKNOWN),-1,-1,-1,-1,-1,-1,,-1,-1,,-1,-1,UNKNOWN,0,0,0,0,0,0,0,0,1113,0,0,NONE,NONE,TIMEOUT,TIMEOUT,"TIMEOUT(id=-1:UNKNOWN,count=-1)","TIMEOUT(id=-1:UNKNOWN,count=-1)"
