role,board,sample,timestamp_ms,core_frame_valid,frame_valid,boot_generation,cpu_reset_count,wr_core_reset_count,si_config_reset_count,wrc_mode,ptp_state,ptp_state_name,pd_state,ext_state,parent_is_wrnode,parent_mode_on,parent_calibrated,wr_state_value,wr_state_name,wr_failure_low16,wr_failure_reason,wr_failure_reason_name,wr_disable_valid,wr_disable_cause,terminal_state,terminal_history_valid,terminal_candidate,terminal_streak,reported_terminal_streak,upstream_full_pass,upstream_pass_streak,reported_upstream_pass_streak,adjacent_same_generation,timestamp_gap_ms,f4d_generation_changed,f4d_reset_changed,f4d_stop_reason,f4d_stop_role,ptp_rx_count,ptp_tx_count,wr_rx_signal,wr_tx_signal
MASTER,DE5 [1-11.1],1,895,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,,0,0,NONE,NONE,18,000000C8,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],2,3400,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,2505,0,0,NONE,NONE,0000001C,000000D3,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],3,5915,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,2515,0,0,NONE,NONE,23,0.0,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],4,8458,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,2543,0,0,NONE,NONE,28,000000EC,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],5,10967,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,2509,0,0,NONE,NONE,0000002D,000000F6,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],6,13496,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,2529,0,0,NONE,NONE,32,103,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],7,15981,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,1,2485,0,0,NONE,NONE,36,0000010C,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],8,18484,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,2503,0,0,NONE,NONE,39,116,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],9,21003,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,2519,0,0,NONE,NONE,0000003E,122,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],10,23528,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,2525,0,0,NONE,NONE,44,0000012D,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],11,26061,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,2533,0,0,NONE,NONE,48,137,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],12,28531,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,1,2470,0,0,NONE,NONE,0000004E,144,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],13,31074,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,2543,0,0,NONE,NONE,52,0000014F,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],14,34576,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,3502,0,0,NONE,NONE,58,0000015D,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],15,38062,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,3486,0,0,NONE,NONE,0000005E,0000016A,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],16,41565,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,3503,0,0,NONE,NONE,64,0000017A,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],17,45139,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,3574,0,0,NONE,NONE,0000006C,0000018C,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],18,48683,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,3544,0,0,NONE,NONE,75,0000019C,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],19,52220,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,3537,0,0,NONE,NONE,0000007C,000001AE,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010001(id=4097:LOCK,count=1)"
MASTER,DE5 [1-11.1],20,55712,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,3492,0,0,NONE,NONE,84,000001C0,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010002(id=4097:LOCK,count=2)"
MASTER,DE5 [1-11.1],21,59259,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,3547,0,0,NONE,NONE,0000008A,000001CF,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010002(id=4097:LOCK,count=2)"
MASTER,DE5 [1-11.1],22,62793,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,3534,0,0,NONE,NONE,0000008F,000001DE,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010002(id=4097:LOCK,count=2)"
MASTER,DE5 [1-11.1],23,66346,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,3553,0,0,NONE,NONE,99,000001F0,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010002(id=4097:LOCK,count=2)"
MASTER,DE5 [1-11.1],24,69900,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,3554,0,0,NONE,NONE,000000A1,202,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010002(id=4097:LOCK,count=2)"
MASTER,DE5 [1-11.1],25,73422,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,3522,0,0,NONE,NONE,000000A7,211,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010002(id=4097:LOCK,count=2)"
MASTER,DE5 [1-11.1],26,76922,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,3500,0,0,NONE,NONE,000000AE,222,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010002(id=4097:LOCK,count=2)"
MASTER,DE5 [1-11.1],27,80440,1,1,1,1,1,1,2(MASTER),6,6(MASTER),3,1,0,0,0,3,WRS_M_LOCK,0,0,,0,0,ACTIVE,0,0,0,0,0,0,0,0,3518,0,0,NONE,NONE,000000B6,232,"10000001(id=4096:SLAVE_PRESENT,count=1)","10010002(id=4097:LOCK,count=2)"
