role,board,sample,elapsed_ms,read_start_ms,read_end_ms,transport_valid,core_frame_valid,role_identity_valid,phy_link_usable,boot_generation,cpu_reset_count,wr_core_reset_count,si_config_drop_count,reset_stable,ptp_state,pd_state,ext_state,wr_state,wr_disable_valid,wr_failure_reason,main_core_valid,main_trace_valid,main_detector_valid,main_detector_stable,main_enabled,main_freq_locked,main_phase_locked,main_phase_input_domain,main_phase_inband,main_pi_x,main_phase_threshold,main_sample_n,main_sample_n_delta,main_sample_n_delta_ambiguous,main_sample_n_advanced,producer_fresh_vs_previous,main_publication_epoch,publication_coherent,helper_measurement_ok,helper_locked,helper_error,helper_output,helper_target_code,helper_applied_code,helper_residual_present,helper_measurement_residual_present,position_ok,l2_valid,l2_main_pending,l2_helper_pending,l2_main_pending_count,l2_helper_pending_count,l2_main_start_count,l2_helper_start_count,l2_main_completed_count,l2_helper_completed_count,l2_main_failed_count,l2_helper_failed_count,acquisition_diagnostic_allowed,entry_class,stop_reason,gap_ms,same_reset_as_previous
SLAVE,DE5 [1-11.2],1,0,1789459039651,1789459041399,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,1,1,1,0,PHASE,0,2154,1200,93944,,0,0,0,488,1,0,1,,,54259,54277,1,,1,1,1,0,20021,3388,17615,7396,17614,7396,0,0,1,ELIGIBLE,NONE,,0
SLAVE,DE5 [1-11.2],2,5126,1789459044775,1789459046514,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,1,1,1,0,PHASE,0,-7123,1200,115617,21673,0,1,1,494,1,0,1,,,54383,54405,1,,1,1,1,0,23916,3388,21211,7840,21211,7840,0,0,1,ELIGIBLE,NONE,5126,1
SLAVE,DE5 [1-11.2],3,7371,1789459047020,1789459048810,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,1,1,1,0,PHASE,0,-4287,1200,122852,7235,0,1,1,496,1,0,1,,,,,,,0,1,1,0,25645,3388,22822,8079,22822,8079,0,0,1,ELIGIBLE,NONE,2245,1
SLAVE,DE5 [1-11.2],4,11112,1789459050761,1789459052505,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,1,1,1,0,PHASE,0,7641,1200,137296,14444,0,1,1,500,1,0,1,,,54561,54533,1,,1,1,1,0,28374,3388,25293,8526,25293,8526,0,0,1,ELIGIBLE,NONE,3741,1
SLAVE,DE5 [1-11.2],5,13361,1789459053010,1789459054748,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,1,1,1,0,PHASE,0,-3479,1200,144530,7234,0,1,1,502,1,0,1,,,54584,54597,1,,1,1,1,0,30097,3388,26891,8683,26890,8683,0,0,1,ELIGIBLE,NONE,2249,1
SLAVE,DE5 [1-11.2],6,17112,1789459056761,1789459058500,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,1,1,1,0,PHASE,0,-1491,1200,158978,14448,0,1,1,506,1,0,1,,,54767,54789,1,,1,1,1,0,33028,3388,29660,8906,29660,8906,0,0,1,ELIGIBLE,NONE,3751,1
SLAVE,DE5 [1-11.2],7,19356,1789459059005,1789459060758,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,0,1,1,0,PHASE,1,-860,1200,166206,7228,0,1,1,508,1,0,1,,,,,,,0,1,1,0,34795,3388,31332,9056,31331,9056,0,0,1,ELIGIBLE,NONE,2244,1
SLAVE,DE5 [1-11.2],8,22828,1789459062477,1789459064213,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,1,1,1,0,PHASE,0,5128,1200,180663,14457,0,1,1,512,1,0,1,,,55010,55045,1,,1,1,1,0,37473,3388,33827,9319,33827,9319,0,0,1,ELIGIBLE,NONE,3472,1
SLAVE,DE5 [1-11.2],9,25068,1789459064717,1789459066481,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,1,1,1,0,PHASE,0,-4071,1200,187891,7228,0,1,1,514,1,0,1,,,55108,55109,1,,1,1,1,0,39218,3388,35451,9521,35451,9521,0,0,1,ELIGIBLE,NONE,2240,1
SLAVE,DE5 [1-11.2],10,28518,1789459068167,1789459069941,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,1,1,1,0,PHASE,0,6458,1200,202344,14453,0,1,1,518,1,0,1,,,,,,,0,1,1,0,41895,3388,37991,9722,37990,9722,0,0,1,ELIGIBLE,NONE,3450,1
