ROLE,BOARD,SAMPLE,ELAPSED_MS,HOST_START_MS,HOST_END_MS,DURATION_MS,VALID,TRANSPORT_ERROR,PARSE_ERROR,STATUS_RAW,PSTAT_RAW,WR_STATE_RAW,SPLL_STATE_RAW,WR_FAILURE_RAW,LOCK_RESULT_RAW,PTP_META_RAW,ENTRY_PROBE_RAW,RESET_PROBE_RAW,MAIN_EPOCH_RAW,MAIN_UPDATE_RAW,MAIN_DETECTOR_RAW,MAIN_STATE_RAW,POSITION_RAW,ACCOUNTING_RAW,L2_STATUS_RAW,L2_PENDING_RAW,L2_COMPLETED_RAW,RESET_FIELDS_VALID,RESET_CHANGED,BOOT_GENERATION,CPU_RESET_COUNT,WR_CORE_RESET_COUNT,SI_CONFIG_DROP_COUNT,WR_FAILURE_REASON,WR_DISABLE_VALID,TERMINAL,STOP_REASON,READ_ERROR
SLAVE,DE5 [1-11.2],1,1106,1789464166597,1789464166843,246,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,000001EA,00016EDD,6403205,3,0603094CD245D23A,60140D3C60140F4F,9647E550051E000D,00000D3C00004E72,00001C8B0000438A,1,0,1,1,0,0,0,0,0,NONE,00001C8B0000438A
MASTER,DE5 [1-11.1],1,1352,1789464166843,1789464167071,228,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,880,0,0,0,TIMEOUT,TIMEOUT,8403A014E2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
MASTER,DE5 [1-11.1],2,4581,1789464170072,1789464170305,233,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,000008C0,0,0,0,TIMEOUT,TIMEOUT,8DA69F41E2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
SLAVE,DE5 [1-11.2],2,5926,1789464171417,1789464171665,248,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,000001F0,0001C38F,6403205,3,06E70A37D405D3FD,6F2B0D3C6F2B111E,A4A72E6DCADC000D,00000D3C00005CE6,00001E5A000050D1,1,0,1,1,0,0,0,0,0,NONE,00001E5A000050D1
MASTER,DE5 [1-11.1],3,8292,1789464173783,1789464174013,230,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,0000090A,0,0,0,TIMEOUT,TIMEOUT,98B3CD1FE2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
SLAVE,DE5 [1-11.2],3,10642,1789464176133,1789464176391,258,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,000001F4,0001FC06,6403205,3,07E20B2ED305D32C,7E0C0D3C7E0C1310,B2BCA3EA835A000D,00000D3C00006AF6,0000204C00005DC1,1,0,1,1,0,0,0,0,0,NONE,0000204C00005DC1
MASTER,DE5 [1-11.1],4,11524,1789464177015,1789464177248,233,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,0000094A,0,0,0,TIMEOUT,TIMEOUT,A257D55AE2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
SLAVE,DE5 [1-11.2],4,15276,1789464180767,1789464181018,251,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,000001FA,000250B7,6403105,3,08B50C02D345D33E,8C750D3C8C7514B7,C08656051D5E000D,00000D3C000078F5,000021F300006A83,1,0,1,1,0,0,0,0,0,NONE,000021F300006A83
MASTER,DE5 [1-11.1],5,15527,1789464181018,1789464181243,225,0,1,1,1,1,A0219864,20004,0,0,2010306,0000000100019EAC,00010100010101FF,0000099A,0,0,0,TIMEOUT,TIMEOUT,AE3FA437E2500000,0,78900000000,1,0,1,1,0,0,0,0,0,NONE,78900000000
SLAVE,DE5 [1-11.2],5,19859,1789464185350,1789464185602,252,1,0,0,1,1,A041135C,30006,0,1,3010308,0000000100019EAC,00010100010101FF,000001FE,0002892A,6403205,3,09940CE7D4C5D4AA,9A9E0D3C9A9E167B,CE2FE812A79E000D,00000D3C000086BE,000023B7000076E8,1,0,1,1,0,0,0,0,0,NONE,000023B7000076E8
