ROLE,BOARD,CYCLE,PROFILE,PROFILE_ATTEMPTS,PROFILE_START_MS,PROFILE_END_MS,PROFILE_DURATION_MS,ELAPSED_MS,ACCEPTED,FRESH,STALE,AMBIGUOUS,PRODUCER_STATUS,UPDATE_COUNT,EPOCH_BEFORE,EPOCH_AFTER,TRANSPORT_ERROR,PARSE_ERROR,ODD_OR_SENTINEL,EPOCH_CHANGED,ARITHMETIC_MISMATCH,RANGE_MISMATCH,REASON,STOP_REASON
SLAVE,DE5 [1-11.2],1,FULL,8,1789464165491,1789464166596,1105,1105,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,112733,225466,226236,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],2,CORE,2,1789464167097,1789464167341,244,1850,1,0,0,0,BASELINE,115784,231568,231568,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],3,FULL,8,1789464167842,1789464168947,1105,3456,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,121888,243028,243776,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],4,CORE,1,1789464169447,1789464169639,192,4148,1,1,0,0,FRESH,124561,249122,249122,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],5,FULL,8,1789464170305,1789464171417,1112,5926,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,131424,262080,262848,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],6,CORE,2,1789464171918,1789464172162,244,6671,1,1,0,0,FRESH,134092,268184,268184,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],7,FULL,8,1789464172663,1789464173783,1120,8292,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,140201,279634,281156,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],8,CORE,2,1789464174284,1789464174531,247,9040,1,1,0,0,FRESH,143255,286510,286510,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],9,FULL,8,1789464175031,1789464176133,1102,10642,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,149356,297946,298712,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],10,CORE,1,1789464176633,1789464176821,188,11330,1,1,0,0,FRESH,152024,304048,304048,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],11,FULL,8,1789464177321,1789464178423,1102,12932,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,158126,315498,316252,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],12,CORE,2,1789464178923,1789464179169,246,13678,1,1,0,0,FRESH,160793,321586,321586,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],13,FULL,8,1789464179669,1789464180767,1098,15276,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,166905,333042,333810,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],14,CORE,1,1789464181267,1789464181453,186,15962,1,1,0,0,FRESH,169571,339142,339142,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],15,FULL,8,1789464181954,1789464183054,1100,17563,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,175673,350592,351346,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],16,CORE,1,1789464183554,1789464183740,186,18249,1,1,0,0,FRESH,178348,356696,356696,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],17,FULL,8,1789464184240,1789464185350,1110,19859,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,184444,368138,368888,0,0,0,1,1,0,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",NONE
SLAVE,DE5 [1-11.2],18,CORE,1,1789464185850,1789464186033,183,20542,1,1,0,0,FRESH,187117,374234,374234,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],19,FULL,8,1789464186534,1789464187641,1107,22150,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,193222,385672,386444,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],20,CORE,1,1789464188141,1789464188329,188,22838,1,1,0,0,FRESH,195887,391774,391774,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],21,FULL,8,1789464188829,1789464189939,1110,24448,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,201996,403224,403992,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],22,CORE,1,1789464190442,1789464190627,185,25136,1,1,0,0,FRESH,204662,409324,409324,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],23,FULL,8,1789464191127,1789464192240,1113,26749,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,210764,420780,421528,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],24,CORE,1,1789464192740,1789464192927,187,27436,1,1,0,0,FRESH,213439,426878,426878,0,0,0,0,0,0,NONE,NONE
SLAVE,DE5 [1-11.2],25,FULL,8,1789464193427,1789464194535,1108,29044,0,0,0,0,FULL_ACCEPTED_OR_REJECTED,219542,438316,439084,0,0,0,1,0,0,EPOCH_CHANGED,NONE
SLAVE,DE5 [1-11.2],26,CORE,1,1789464195035,1789464195221,186,29730,1,1,0,0,FRESH,222209,444418,444418,0,0,0,0,0,0,NONE,NONE
