bin_index,bin_start_ms,bin_end_ms,helper_fresh_count,main_fresh_count,phase_qualified_count,phase_locked_count,wr_core_valid_count,helper_demand_count,main_demand_count,main_completed_delta,helper_completed_delta,main_start_delta,helper_start_delta,main_completed_service_window,helper_completed_service_window,main_start_service_window,helper_start_service_window,main_completed_delta_samples,helper_completed_delta_samples,service_ambiguous_count,helper_core_rows,main_core_rows,detector_rows,wr_core_rows,demand_rows,service_rows,qualified_bin
0,0,10000,7,5,0,0,11,0,0,6520,712,6520,711,TRUSTED,TRUSTED,TRUSTED,TRUSTED,7,7,0,12,8,8,11,0,24,1
1,10000,20000,7,5,0,0,9,0,0,5691,705,5691,705,TRUSTED,TRUSTED,TRUSTED,TRUSTED,6,6,0,11,8,7,9,0,21,1
2,20000,30000,8,6,0,0,11,0,0,6611,828,6610,828,TRUSTED,TRUSTED,TRUSTED,TRUSTED,7,7,0,10,7,8,11,0,24,1
3,30000,40000,7,5,0,0,10,0,0,5561,881,5562,881,TRUSTED,TRUSTED,TRUSTED,TRUSTED,6,6,0,11,8,7,10,0,21,1
4,40000,50000,8,5,0,0,10,0,0,6403,931,6403,931,TRUSTED,TRUSTED,TRUSTED,TRUSTED,7,7,0,12,7,8,10,0,24,1
5,50000,60000,8,6,0,0,11,0,0,6318,932,6318,932,TRUSTED,TRUSTED,TRUSTED,TRUSTED,7,7,0,10,8,8,11,0,24,1
6,60000,70000,7,4,0,0,9,0,0,5574,653,5574,653,TRUSTED,TRUSTED,TRUSTED,TRUSTED,6,6,0,13,8,7,9,0,21,1
7,70000,80000,8,6,0,0,11,0,0,6402,994,6403,993,TRUSTED,TRUSTED,TRUSTED,TRUSTED,7,7,0,10,7,8,11,0,24,1
8,80000,90000,8,5,0,0,10,0,0,6312,968,6312,969,TRUSTED,TRUSTED,TRUSTED,TRUSTED,7,7,0,11,8,8,10,0,24,1
9,90000,100000,7,5,0,0,10,0,0,5674,653,5675,653,TRUSTED,TRUSTED,TRUSTED,TRUSTED,6,6,0,12,7,7,10,0,21,1
10,100000,110000,8,6,0,0,11,0,0,6474,949,6475,949,TRUSTED,TRUSTED,TRUSTED,TRUSTED,7,7,0,10,8,8,11,0,24,1
11,110000,120000,7,5,0,0,9,0,0,6577,778,6578,778,TRUSTED,TRUSTED,TRUSTED,TRUSTED,7,7,0,12,8,8,9,0,24,1
12,120000,130000,1,0,0,0,1,0,0,0,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,1,0,0,0
