ROLE,BOARD,CYCLE,HOST_START_MS,HOST_END_MS,ELAPSED_MS,CONTEXT_DURATION_MS,HELPER_ATTEMPTS,HELPER_CORE_VALID,HELPER_CORE_FRESH,HELPER_UPDATE_COUNT,HELPER_STATE_VALID,HELPER_LOCKED,MAIN_CORE_VALID,MAIN_CORE_FRESH,MAIN_SAMPLE_N,MAIN_SAMPLE_N_DELTA,MAIN_DETECTOR_VALID,MAIN_ENABLED,MAIN_FREQ_LOCKED,MAIN_PHASE_LOCKED,POSITION_VALID,HELPER_RESIDUAL_PRESENT,HELPER_NORMAL_REQUEST,HELPER_NORMAL_COMPLETED,HELPER_BOOTSTRAP_DONE,WR_CORE_VALID,PHY_LINK_USABLE,CURRENT_WR_STATE,PSTAT_LOCKED,TERMINAL,PHASE_CURRENT,PHASE_QUALIFIED,PHASE_QUAL_STREAK,PHASE_QUALIFIED_SEEN,HELPER_UNLOCK_STREAK,HELPER_RAIL_STREAK,FREQ_UNLOCK_STREAK,STOP_REASON
SLAVE,DE5 [1-11.2],1,1789467878182,1789467878978,797,796,1,1,0,41427,1,1,1,0,21671,,1,1,1,0,1,1,2267,2267,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],2,1789467879480,1789467880277,2096,797,2,1,1,46378,1,1,1,1,28894,7223,1,1,0,0,1,1,2408,2408,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],3,1789467880777,1789467881555,3374,778,1,1,1,51337,1,1,1,1,36124,7230,1,1,1,0,0,,2491,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],4,1789467882057,1789467882896,4715,839,2,1,1,56303,1,1,1,0,36124,0,1,1,1,0,0,,2599,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],5,1789467883396,1789467884178,5997,782,1,1,1,61258,1,1,1,1,43348,7224,1,1,1,0,1,1,2651,2651,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],6,1789467884679,1789467885494,7313,815,2,1,1,66219,1,1,1,1,50579,7231,1,1,1,0,1,1,2745,2745,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],7,1789467885995,1789467886778,8597,783,1,1,1,71178,1,1,1,0,50579,0,1,1,1,0,0,,2830,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],8,1789467887278,1789467888073,9892,795,2,1,1,76137,1,1,1,1,57800,7221,1,1,1,0,1,1,2979,2979,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],9,1789467888574,1789467889369,11188,795,1,1,1,81094,1,1,1,1,65033,7233,1,1,1,0,0,,3111,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],10,1789467889870,1789467890663,12482,793,1,1,1,86055,1,1,1,0,65033,0,1,1,1,0,0,,3228,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],11,1789467891163,1789467891986,13805,823,2,1,1,91015,1,1,1,1,72259,7226,1,1,1,0,1,1,3378,3378,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],12,1789467892486,1789467893256,15075,770,1,1,1,95972,1,1,1,1,79484,7225,1,1,1,0,1,1,3464,3464,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],13,1789467893756,1789467894833,16652,1077,1,1,1,100927,1,1,1,1,86711,7227,1,1,1,0,1,1,3613,3612,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],14,1789467895333,1789467896144,17963,811,2,1,1,107037,1,1,1,0,86711,0,1,1,1,0,1,1,3705,3705,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],15,1789467896644,1789467897383,19202,739,1,1,1,111611,1,1,1,1,93936,7225,1,1,1,0,1,1,3816,3816,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],16,1789467897884,1789467898702,20521,818,2,1,1,116574,1,1,1,1,101164,7228,1,1,1,0,0,,3915,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],17,1789467899204,1789467899960,21779,756,1,1,1,121525,1,1,1,0,101164,0,1,1,1,0,1,1,4015,4015,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],18,1789467900460,1789467901270,23089,810,2,1,1,126490,1,1,1,1,108390,7226,1,1,1,0,0,,4160,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],19,1789467901770,1789467902603,24422,833,2,1,1,131449,1,1,1,1,115613,7223,1,1,1,0,0,,4276,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],20,1789467903103,1789467903882,25701,779,1,1,1,136409,1,1,1,0,115613,0,1,1,1,0,1,1,4365,4365,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],21,1789467904383,1789467905177,26996,794,1,1,1,141366,1,1,1,1,122842,7229,1,1,1,0,1,1,4501,4501,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],22,1789467905677,1789467906472,28291,795,1,1,1,146320,1,1,1,1,130071,7229,1,1,1,0,0,,4623,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],23,1789467906974,1789467908080,29899,1106,2,1,1,151280,1,1,1,1,137295,7224,1,1,1,0,0,,4743,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],24,1789467908580,1789467909335,31154,755,1,1,1,157388,1,1,1,0,137295,0,1,1,0,0,1,1,4839,4839,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],25,1789467910108,1789467910872,32691,764,1,1,1,163107,1,1,1,1,144528,7233,1,1,1,0,1,1,5011,5009,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],26,1789467911372,1789467912141,33960,769,1,1,1,168067,1,1,1,1,151747,7219,1,1,1,0,1,1,5129,5129,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],27,1789467912642,1789467913456,35275,814,2,1,1,173020,1,1,1,0,151747,0,1,1,1,0,1,1,5325,5325,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],28,1789467913956,1789467914766,36585,810,2,1,1,177987,1,1,1,1,158981,7234,1,1,1,0,1,1,5473,5472,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],29,1789467915267,1789467916078,37897,811,1,1,1,182942,1,1,1,1,166209,7228,1,1,1,0,0,,5613,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],30,1789467916579,1789467917401,39220,822,2,1,1,187902,1,1,1,1,173435,7226,1,1,1,0,0,,5720,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],31,1789467917901,1789467918661,40480,760,1,1,1,192859,1,1,1,0,173435,0,1,1,1,0,1,1,5838,5838,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],32,1789467919161,1789467919959,41778,798,1,1,1,197817,1,1,1,1,180654,7219,1,1,1,0,1,1,5948,5948,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],33,1789467920459,1789467921291,43110,832,2,1,1,202779,1,1,1,1,187887,7233,1,1,1,0,0,,6066,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],34,1789467921791,1789467922659,44478,868,3,1,1,208117,1,1,1,0,187887,0,1,1,1,0,0,,6206,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],35,1789467923159,1789467923963,45782,804,2,1,1,213075,1,1,1,1,195111,7224,1,1,1,0,1,1,6339,6339,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],36,1789467924463,1789467925244,47063,781,1,1,1,218035,1,1,1,1,202333,7222,1,1,1,0,1,1,6490,6490,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],37,1789467925744,1789467926584,48403,840,2,1,1,222992,1,1,1,0,202333,0,1,1,1,0,1,1,6617,6617,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],38,1789467927086,1789467927865,49684,779,1,1,1,227949,1,1,1,1,209561,7228,1,1,1,0,0,,6769,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],39,1789467928365,1789467929164,50983,799,1,1,1,232915,1,1,1,1,216794,7233,1,1,1,0,0,,6904,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],40,1789467929665,1789467930474,52293,809,2,1,1,237867,1,1,1,0,216794,0,1,1,1,0,1,1,7085,7085,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],41,1789467930975,1789467931744,53563,769,1,1,1,242832,1,1,1,1,224015,7221,1,1,1,0,1,1,7253,7253,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],42,1789467932244,1789467933042,54861,798,1,1,1,247787,1,1,1,1,231245,7230,1,1,1,0,1,1,7367,7367,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],43,1789467933542,1789467934381,56200,839,2,1,1,252744,1,1,1,0,231245,0,1,1,1,0,0,,7466,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],44,1789467934881,1789467935684,57503,803,1,1,1,257708,1,1,1,1,238474,7229,1,1,1,0,0,,7578,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],45,1789467936185,1789467936983,58802,798,1,1,1,262667,1,1,1,1,245693,7219,1,1,1,0,0,,7695,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],46,1789467937484,1789467938282,60101,798,1,1,1,267622,1,1,1,1,252927,7234,1,1,1,0,1,1,7836,7836,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],47,1789467938783,1789467939531,61350,748,1,1,1,272579,1,1,1,0,252927,0,1,1,1,0,1,1,7999,7999,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],48,1789467940032,1789467940778,62597,746,1,1,1,277158,1,1,1,1,260147,7220,1,1,1,0,1,1,8094,8094,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],49,1789467941279,1789467942168,63987,889,3,1,1,282502,1,1,1,1,267380,7233,1,1,1,0,1,1,8271,8271,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],50,1789467942668,1789467943503,65322,835,2,1,1,287459,1,1,1,0,267380,0,1,1,1,0,0,,8354,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],51,1789467944004,1789467944755,66574,751,1,1,1,292416,1,1,1,1,274600,7220,1,1,1,0,1,1,8451,8451,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],52,1789467945255,1789467946061,67880,806,2,1,1,297376,1,1,1,1,281828,7228,1,1,1,0,1,1,8557,8557,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],53,1789467946561,1789467947339,69158,778,1,1,1,302332,1,1,1,0,281828,0,1,1,1,0,1,1,8652,8652,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],54,1789467947839,1789467948669,70488,830,2,1,1,307290,1,1,1,1,289053,7225,1,1,1,0,0,,8856,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],55,1789467949170,1789467949984,71803,814,1,1,1,312251,1,1,1,1,296284,7231,1,1,1,0,1,1,8980,8979,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],56,1789467950484,1789467951278,73097,794,1,1,1,317213,1,1,1,0,296284,0,1,1,1,0,0,,9159,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],57,1789467951779,1789467952660,74479,881,3,1,1,322555,1,1,1,1,303507,7223,1,1,1,0,1,1,9305,9305,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],58,1789467953160,1789467953949,75768,789,1,1,1,327509,1,1,1,1,310732,7225,1,1,1,0,1,1,9438,9438,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],59,1789467954450,1789467955279,77098,829,1,1,1,332465,1,1,1,0,310732,0,1,1,1,0,0,,9626,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],60,1789467955780,1789467956561,78380,781,1,1,1,337424,1,1,1,1,317968,7236,1,1,1,0,0,,9766,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],61,1789467957061,1789467957897,79716,836,2,1,1,342388,1,1,1,1,325193,7225,1,1,1,0,1,1,9850,9850,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],62,1789467958398,1789467959203,81022,805,1,1,1,347350,1,1,1,1,332415,7222,1,1,1,0,0,,9957,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],63,1789467959703,1789467960473,82292,770,1,1,1,352307,1,1,1,0,332415,0,1,1,1,0,0,,10030,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],64,1789467960974,1789467961767,83586,793,1,1,1,357268,1,1,1,1,339645,7230,1,1,1,0,0,,10225,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],65,1789467962267,1789467963053,84872,786,1,1,1,362218,1,1,1,1,346867,7222,1,1,1,0,1,1,10314,10314,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],66,1789467963554,1789467964381,86200,827,2,1,1,367182,1,1,1,0,346867,0,1,1,1,0,0,,10487,,,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],67,1789467964881,1789467965666,87485,785,1,1,1,372137,1,1,1,1,354100,7233,1,1,1,0,1,1,10666,10666,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],68,1789467966167,1789467966972,88791,805,2,1,1,377096,1,1,1,1,361325,7225,1,1,1,0,1,1,10791,10791,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],69,1789467967472,1789467968283,90102,811,2,1,1,382059,1,1,1,0,361325,0,1,1,1,0,1,1,10925,10924,1,1,0,2,0,0,0,0,0,0,0,0,0,NONE
