BOARD,CYCLE,HOST_START_MS,HOST_END_MS,DURATION_MS,MAIN_CORE_VALID,MAIN_TRACE_VALID,MAIN_EPOCH_RAW_BEFORE,MAIN_EPOCH_RAW_AFTER,MAIN_EPOCH,MAIN_SAMPLE_N,MAIN_SAMPLE_N_DELTA,MAIN_SAMPLE_N_ADVANCED,MAIN_SAMPLE_N_AMBIGUOUS,MAIN_FREQ_ERROR,MAIN_PI_X,MAIN_PI_OUTPUT,MAIN_PI_CLAMP_SIDE,MAIN_STATE,MAIN_MAGIC,MAIN_FREQ_ERROR_RAW,MAIN_PI_X_RAW,MAIN_PI_OUTPUT_RAW,MAIN_PI_CLAMP_SIDE_RAW,MAIN_SAMPLE_N_RAW,MAIN_STATE_RAW,MAIN_TRANSPORT_FAILURE
DE5 [1-11.2],1,1789467878539,1789467878809,270,1,1,000001AA,000001AA,426,21671,,0,0,49,-980,13993,0,1,1,31,FFFFFC2C,000036A9,0,000054A7,1,0
DE5 [1-11.2],2,1789467879838,1789467880110,272,1,1,000001AC,000001AC,428,28894,7223,1,0,41,5156,13709,0,3,1,29,1424,0000358D,0,000070DE,3,0
DE5 [1-11.2],3,1789467881089,1789467881362,273,1,1,000001AE,000001AE,430,36124,7230,1,0,41,393,13320,0,3,1,29,189,3408,0,00008D1C,3,0
DE5 [1-11.2],4,1789467882429,1789467882703,274,1,1,000001AE,000001AE,430,36124,0,0,0,41,393,13320,0,3,1,29,189,3408,0,00008D1C,3,0
DE5 [1-11.2],5,1789467883733,1789467884006,273,1,1,000001B0,000001B0,432,43348,7224,1,0,42,2234,13488,0,3,1,0000002A,000008BA,000034B0,0,0000A954,3,0
DE5 [1-11.2],6,1789467885036,1789467885308,272,1,1,000001B2,000001B2,434,50579,7231,1,0,34,-4330,12775,0,3,1,22,FFFFEF16,310000000.0,0,0000C593,3,0
DE5 [1-11.2],7,1789467886313,1789467886586,273,1,1,000001B2,000001B2,434,50579,0,0,0,34,-4330,12775,0,3,1,22,FFFFEF16,310000000.0,0,0000C593,3,0
DE5 [1-11.2],8,1789467887631,1789467887903,272,1,1,000001B4,000001B4,436,57800,7221,1,0,48,-5163,12736,0,3,1,30,FFFFEBD5,000031C0,0,0000E1C8,3,0
DE5 [1-11.2],9,1789467888902,1789467889176,274,1,1,000001B6,000001B6,438,65033,7233,1,0,51,1771,13359,0,3,1,33,000006EB,0000342F,0,0000FE09,3,0
DE5 [1-11.2],10,1789467890196,1789467890470,274,1,1,000001B6,000001B6,438,65033,0,0,0,51,1771,13359,0,3,1,33,000006EB,0000342F,0,0000FE09,3,0
DE5 [1-11.2],11,1789467891537,1789467891808,271,1,1,000001B8,000001B8,440,72259,7226,1,0,56,-178,13273,0,3,1,38,FFFFFF4E,000033D9,0,00011A43,3,0
DE5 [1-11.2],12,1789467892803,1789467893074,271,1,1,000001BA,000001BA,442,79484,7225,1,0,46,2429,13324,0,3,1,0000002E,0000097D,0000340C,0,0001367C,3,0
DE5 [1-11.2],13,1789467894096,1789467894644,548,1,1,000001BC,000001BC,444,86711,7227,1,0,44,-736,13159,0,3,1,0000002C,FFFFFD20,3367,0,000152B7,3,0
DE5 [1-11.2],14,1789467895700,1789467895972,272,1,1,000001BC,000001BC,444,86711,0,0,0,44,-736,13159,0,3,1,0000002C,FFFFFD20,3367,0,000152B7,3,0
DE5 [1-11.2],15,1789467896942,1789467897214,272,1,1,000001BE,000001BE,446,93936,7225,1,0,57,7040,13639,0,3,1,39,00001B80,3547,0,00016EF0,3,0
DE5 [1-11.2],16,1789467898238,1789467898510,272,1,1,000001C0,000001C0,448,101164,7228,1,0,50,-3872,12793,0,3,1,32,FFFFF0E0,000031F9,0,00018B2C,3,0
DE5 [1-11.2],17,1789467899516,1789467899787,271,1,1,000001C0,000001C0,448,101164,0,0,0,50,-3872,12793,0,3,1,32,FFFFF0E0,000031F9,0,00018B2C,3,0
DE5 [1-11.2],18,1789467900810,1789467901081,271,1,1,000001C2,000001C2,450,108390,7226,1,0,53,-574,13109,0,3,1,35,FFFFFDC2,3335,0,0001A766,3,0
DE5 [1-11.2],19,1789467902137,1789467902411,274,1,1,000001C4,000001C4,452,115613,7223,1,0,34,-3443,12920,0,3,1,22,FFFFF28D,3278,0,0001C39D,3,0
DE5 [1-11.2],20,1789467903440,1789467903710,270,1,1,000001C4,000001C4,452,115613,0,0,0,34,-3443,12920,0,3,1,22,FFFFF28D,3278,0,0001C39D,3,0
DE5 [1-11.2],21,1789467904733,1789467905003,270,1,1,000001C6,000001C6,454,122842,7229,1,0,40,-5886,12638,0,3,1,28,FFFFE902,0000315E,0,0001DFDA,3,0
DE5 [1-11.2],22,1789467906007,1789467906280,273,1,1,000001C8,000001C8,456,130071,7229,1,0,37,7722,13451,0,3,1,25,00001E2A,0000348B,0,0001FC17,3,0
DE5 [1-11.2],23,1789467907339,1789467907887,548,1,1,000001CA,000001CA,458,137295,7224,1,0,61,-409,13063,0,3,1,0000003D,FFFFFE67,3307,0,0002184F,3,0
DE5 [1-11.2],24,1789467908890,1789467909163,273,1,1,000001CA,000001CA,458,137295,0,0,0,61,-409,13063,0,3,1,0000003D,FFFFFE67,3307,0,0002184F,3,0
DE5 [1-11.2],25,1789467910416,1789467910687,271,1,1,000001CC,000001CC,460,144528,7233,1,0,53,-1240,12851,0,1,1,35,FFFFFB28,3233,0,23490,1,0
DE5 [1-11.2],26,1789467911704,1789467911974,270,1,1,000001CE,000001CE,462,151747,7219,1,0,47,4283,13270,0,3,1,0000002F,000010BB,000033D6,0,000250C3,3,0
DE5 [1-11.2],27,1789467913003,1789467913275,272,1,1,000001CE,000001CE,462,151747,0,0,0,47,4283,13270,0,3,1,0000002F,000010BB,000033D6,0,000250C3,3,0
DE5 [1-11.2],28,1789467914311,1789467914582,271,1,1,000001D0,000001D0,464,158981,7234,1,0,35,-6153,12491,0,3,1,23,FFFFE7F7,000030CB,0,00026D05,3,0
DE5 [1-11.2],29,1789467915612,1789467915884,272,1,1,000001D2,000001D2,466,166209,7228,1,0,38,7069,13482,0,3,1,26,00001B9D,000034AA,0,28941,3,0
DE5 [1-11.2],30,1789467916935,1789467917208,273,1,1,000001D4,000001D4,468,173435,7226,1,0,37,-5399,12581,0,3,1,25,FFFFEAE9,3125,0,0002A57B,3,0
DE5 [1-11.2],31,1789467918204,1789467918477,273,1,1,000001D4,000001D4,468,173435,0,0,0,37,-5399,12581,0,3,1,25,FFFFEAE9,3125,0,0002A57B,3,0
DE5 [1-11.2],32,1789467919506,1789467919778,272,1,1,000001D6,000001D6,470,180654,7219,1,0,53,-1040,12848,0,1,1,35,FFFFFBF0,3230,0,0002C1AE,1,0
DE5 [1-11.2],33,1789467920824,1789467921099,275,1,1,000001D8,000001D8,472,187887,7233,1,0,44,3648,13123,0,3,1,0000002C,0.0,3343,0,0002DDEF,3,0
DE5 [1-11.2],34,1789467922200,1789467922470,270,1,1,000001D8,000001D8,472,187887,0,0,0,44,3648,13123,0,3,1,0000002C,0.0,3343,0,0002DDEF,3,0
DE5 [1-11.2],35,1789467923516,1789467923787,271,1,1,000001DA,000001DA,474,195111,7224,1,0,52,-5545,12437,0,3,1,34,FFFFEA57,3095,0,0002FA27,3,0
DE5 [1-11.2],36,1789467924804,1789467925075,271,1,1,000001DC,000001DC,476,202333,7222,1,0,48,-1955,12704,0,3,1,30,FFFFF85D,000031A0,0,0003165D,3,0
DE5 [1-11.2],37,1789467926128,1789467926398,270,1,1,000001DC,000001DC,476,202333,0,0,0,48,-1955,12704,0,3,1,30,FFFFF85D,000031A0,0,0003165D,3,0
DE5 [1-11.2],38,1789467927400,1789467927673,273,1,1,000001DE,000001DE,478,209561,7228,1,0,44,3844,13144,0,3,1,0000002C,00000F04,3358,0,33299,3,0
DE5 [1-11.2],39,1789467928703,1789467928974,271,1,1,1.0,1.0,480,216794,7233,1,0,53,1986,13071,0,3,1,35,000007C2,0000330F,0,00034EDA,3,0
DE5 [1-11.2],40,1789467930030,1789467930302,272,1,1,1.0,1.0,480,216794,0,0,0,53,1986,13071,0,3,1,35,000007C2,0000330F,0,00034EDA,3,0
DE5 [1-11.2],41,1789467931295,1789467931567,272,1,1,100.0,100.0,482,224015,7221,1,0,45,-4680,12593,0,3,1,0000002D,FFFFEDB8,3131,0,00036B0F,3,0
DE5 [1-11.2],42,1789467932594,1789467932867,273,1,1,10000.0,10000.0,484,231245,7230,1,0,43,-5281,12328,0,3,1,0000002B,FFFFEB5F,3028,0,0003874D,3,0
DE5 [1-11.2],43,1789467933915,1789467934189,274,1,1,10000.0,10000.0,484,231245,0,0,0,43,-5281,12328,0,3,1,0000002B,FFFFEB5F,3028,0,0003874D,3,0
DE5 [1-11.2],44,1789467935219,1789467935492,273,1,1,1000000.0,1000000.0,486,238474,7229,1,0,28,-7990,12081,0,3,1,0000001C,FFFFE0CA,00002F31,0,0003A38A,3,0
DE5 [1-11.2],45,1789467936518,1789467936791,273,1,1,100000000.0,100000000.0,488,245693,7219,1,0,57,-5845,12369,0,3,1,39,FFFFE92B,3051,0,0003BFBD,3,0
