ROLE,BOARD,CYCLE,HOST_START_MS,HOST_END_MS,DURATION_MS,WR_CORE_VALID,DIRECT_VALID,TRANSPORT_FAILURE,ROLE_IDENTITY_VALID,STATUS_RAW,SSTAT_RAW,PTP_META_RAW,WR_FAILURE_RAW,WR_STATE_RAW,PSTAT_RAW,LOCK_RESULT_RAW,SPLL_STATE_RAW,ENTRY_PROBE_RAW,RESET_PROBE_RAW,SI_CONFIG_DONE,WR_READY,CORE_TM_LINK_UP,CORE_LINK_OK,WR_RX_READY,WR_TX_READY,CPU_RESET_N,PHY_LINK_USABLE,PTP_STATE,PD_STATE,EXT_STATE,WRC_MODE,CURRENT_WR_STATE,WR_NEXT_STATE,PSTAT_LOCKED,SPLL_DELOCK_COUNT,BOOT_GENERATION,CPU_RESET_COUNT,WR_CORE_RESET_COUNT,SI_CONFIG_DROP_COUNT,RESET_FIELDS_VALID,RESET_CHANGED,TERMINAL,TERMINAL_STREAK,WR_FAILURE_REASON,WR_DISABLE_VALID,STOP_REASON
SLAVE,DE5 [1-11.2],1,1789467878884,1789467878975,91,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
MASTER,DE5 [1-11.1],1,1789467879183,1789467879274,91,1,1,0,1,1,0,2010306,0,A0219864,1,0,20004,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,6,3,1,2,3,3,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],2,1789467880182,1789467880274,92,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],3,1789467881459,1789467881551,92,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],4,1789467882800,1789467882893,93,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
MASTER,DE5 [1-11.1],2,1789467883075,1789467883165,90,1,1,0,1,1,0,2010306,0,A0219864,1,0,20004,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,6,3,1,2,3,3,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],5,1789467884082,1789467884174,92,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],6,1789467885399,1789467885490,91,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],7,1789467886683,1789467886774,91,1,1,0,1,1,101,3010308,0,A041135C,1,1,30006,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,8,3,1,3,2,2,0,0,1,1,0,0,1,0,0,0,0,0,NONE
MASTER,DE5 [1-11.1],3,1789467886998,1789467887091,93,1,1,0,1,1,0,2010306,0,A0219864,1,0,20004,0000000100019EAC,00010100010101FF,1,0,0,0,0,0,0,0,6,3,1,2,3,3,0,0,1,1,0,0,1,0,0,0,0,0,NONE
