role,cycle,raw,status,failure_bits,observed_phy_link_usable,SI_CONFIG_DONE,WR_READY,CORE_TM_LINK_UP,CORE_LINK_OK,WR_RX_READY,WR_TX_READY
SLAVE,,F8107041295082EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,F1108CC1245082FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,70101D41295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,8B10C8E139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,8A106B6139BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,11102F6134BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,FC10BD41295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,C010F3E139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,E71088E139BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,B110D343245082FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,7A10DFC1295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,2410906139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,2E107AE139BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,61103EE134BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,9B1082E139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,CC105A6139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,9010B941295082EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,71104EE134BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,B9102941295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,DC10216339BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,39107AC1295082EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,D11042C1245082FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,2610BAE139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,9E10236139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,1A1047E139BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,F11063E134BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,BC10E26139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,AC100C6139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,5D103B6139BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,A110F56134BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,1C10F8E139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,7D102EE139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,8410B8C3295082EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,211066C1245082FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,F6106B41295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,A510D36139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,091076C1295082EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,21101FE134BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,061046E139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,8510776139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,E6105441295082EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,9110EAE134BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,571040C1295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,FB109C6339BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,5910666139BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,61108EC1245082FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,681037C1295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,E91079C3295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,1110E4E139BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,6110DEE134BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,E31067E139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,4C10A141295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,6A104E6139BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,E110C241245082FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,BC10DA61393482EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,04103CC1295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,4210516339BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,E1100C6134BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,C61031C1295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,8310BA6139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,1F100741295082EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,E11056E134BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,AF107DE339BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,36105043295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,791058C1295082EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,011000C1245082FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,EC100C6139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,3F1062E139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,2F10ECC1295082EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,5110406134BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,D8101CC1295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,B8107BE139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,EA1047E339BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,71107FC1245082FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,CE108A41295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,6610DA43295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,D1105AE129FC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,7110376134BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,EB1072E139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,DC10C06139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,91104141295082EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,41109443245082FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,32101BC1295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,6410CE43295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,8710F3E339BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,D110FB41245482FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,D310F0E139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,6410C96139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,63101D41295082EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,F11096E134BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,B71081E139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,B010B3C1295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,D410D9E139BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,111054E134BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,92109BE139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,55106C41295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,C610686139BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,E110F86134F082FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,9610576139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,FC105841295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,D610476339BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,0110B2C3245082FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,C210216339BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,6C108A6139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,E110C6C1295082EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,51105E41245082FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,E310B741295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,8910A4C129FC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,ED10B16139BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,511034E134BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,2310526139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,9A1040E139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,B610726139BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,A11070C3241C82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,35103EC3295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,87107AE139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,4E10426139BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,2110216134BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,3710026139BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,5B1013C3295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,2710D6E139BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,D110EA6334BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,481004C3295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,63107443395082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,9E1027E339BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,7110D2E134BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,8510A2C1295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,7F100141295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,E810236139BC82EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,8110F16134BC82FF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,6A103241295082EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,9E100B6339BC82EF,PASS,NONE,1,1,1,1,1,1,1
SLAVE,,511072C3295082EF,PASS,NONE,1,1,1,1,1,1,1
MASTER,,1110076134BC82FF,PASS,NONE,1,1,1,1,1,1,1
