BIN_INDEX,BIN_START_MS,BIN_END_MS,MAIN_UNIQUE_COUNT,MAIN_PROGRESS_COUNT,MAIN_PHASE_DOMAIN_COUNT,MAIN_FREQUENCY_DOMAIN_COUNT,MAIN_PHASE_LOCKED_COUNT,DETECTOR_ROW_COUNT,HELPER_CORE_VALID_COUNT,HELPER_STATE_VALID_COUNT,HELPER_LOCKED_COUNT,HELPER_RESIDUAL_PRESENT_COUNT,HELPER_PENDING_COUNT,MAIN_PENDING_COUNT,WR_PHY_VALID_COUNT,TERMINAL_COUNT,SERVICE_ROW_COUNT,MAIN_COMPLETED_DELTA,HELPER_COMPLETED_DELTA,MAIN_START_DELTA,HELPER_START_DELTA,MAIN_COMPLETED_SERVICE_WINDOW,HELPER_COMPLETED_SERVICE_WINDOW,SERVICE_AMBIGUOUS_COUNT,STOP_REASON_OBSERVED,BACKGROUND_VALID
0,0,10000,6,5,6,0,0,9,9,9,9,7,0,0,12,0,9,5125,469,5125,469,TRUSTED,TRUSTED,0,NONE,1
1,10000,20000,5,5,5,0,0,8,8,8,8,4,0,0,11,0,9,5120,432,5120,432,TRUSTED,TRUSTED,0,NONE,1
2,20000,30000,5,5,4,1,0,8,8,8,8,7,0,0,11,0,9,5261,590,5260,590,TRUSTED,TRUSTED,0,NONE,1
3,30000,40000,5,5,4,1,0,8,8,9,9,4,0,0,10,0,6,2524,369,2523,369,TRUSTED,TRUSTED,0,NONE,1
4,40000,50000,6,6,5,1,0,9,9,8,8,6,0,0,12,0,9,5176,680,5177,679,TRUSTED,TRUSTED,0,NONE,1
5,50000,60000,5,5,5,0,0,8,8,8,8,8,0,0,11,0,9,4930,633,4930,633,TRUSTED,TRUSTED,0,NONE,1
6,60000,70000,5,5,5,0,0,8,8,9,9,6,0,0,11,0,9,4975,570,4976,570,TRUSTED,TRUSTED,0,NONE,1
7,70000,80000,5,5,4,1,0,8,8,8,8,7,0,0,10,0,6,2563,300,2562,301,TRUSTED,TRUSTED,0,NONE,1
8,80000,90000,6,6,6,0,0,9,9,8,8,6,0,0,12,0,9,5144,727,5145,727,TRUSTED,TRUSTED,0,NONE,1
9,90000,100000,5,5,5,0,0,8,8,8,8,6,0,0,11,0,9,5120,618,5120,618,TRUSTED,TRUSTED,0,NONE,1
10,100000,110000,6,6,6,0,0,9,8,9,9,6,0,0,11,0,9,5157,451,5157,451,TRUSTED,TRUSTED,0,NONE,1
11,110000,120000,5,5,5,0,0,8,9,8,8,6,0,0,12,0,9,5110,488,5109,488,TRUSTED,TRUSTED,0,NONE,1
