BOARD,SAMPLE,PROBE,COUNTER_GROUP,HOST_START_MS,HOST_END_MS,DURATION_MS,RAW_PACKED,MAIN_RAW,HELPER_RAW,MAIN_VALUE,HELPER_VALUE,VALID,COUNTER_WIDTH_BITS,SOURCE_SEMANTICS,READ_ATOMICITY,DELTA_POLICY
DE5 [1-11.2],1,54,START,1789536501722,1789536501723,1,00001C1A000046BE,000046BE,00001C1A,18110,7194,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],1,55,COMPLETED,1789536501723,1789536501723,0,00001C1A000046BD,000046BD,00001C1A,18109,7194,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],1,56,FAILED,1789536501723,1789536501723,0,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],4,54,START,1789536505207,1789536505207,0,00001D4200005088,5088,00001D42,20616,7490,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],4,55,COMPLETED,1789536505207,1789536505207,0,00001D4200005087,5087,00001D42,20615,7490,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],4,56,FAILED,1789536505207,1789536505208,1,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],7,54,START,1789536508758,1789536508759,1,00001DEF00005AC3,00005AC3,00001DEF,23235,7663,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],7,55,COMPLETED,1789536508759,1789536508759,0,00001DEF00005AC2,00005AC2,00001DEF,23234,7663,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],7,56,FAILED,1789536508759,1789536508759,0,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],10,54,START,1789536512363,1789536512363,0,00001EFB000064C4,000064C4,00001EFB,25796,7931,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],10,55,COMPLETED,1789536512363,1789536512363,0,00001EFB000064C3,000064C3,00001EFB,25795,7931,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],10,56,FAILED,1789536512363,1789536512364,1,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],13,54,START,1789536515856,1789536515857,1,00001FE900006EA8,00006EA8,00001FE9,28328,8169,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],13,55,COMPLETED,1789536515857,1789536515857,0,00001FE900006EA7,00006EA7,00001FE9,28327,8169,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],13,56,FAILED,1789536515857,1789536515857,0,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],16,54,START,1789536519370,1789536519370,0,000020AB000078C4,000078C4,000020AB,30916,8363,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],16,55,COMPLETED,1789536519371,1789536519371,0,000020AB000078C3,000078C3,000020AB,30915,8363,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],16,56,FAILED,1789536519371,1789536519371,0,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],19,54,START,1789536523163,1789536523163,0,000021CD00008359,8359,000021CD,33625,8653,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],19,55,COMPLETED,1789536523163,1789536523163,0,000021CD00008358,8358,000021CD,33624,8653,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],19,56,FAILED,1789536523163,1789536523164,1,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],22,54,START,1789536526974,1789536526974,0,000022C100008E63,8e+63,000022C1,36451,8897,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],22,55,COMPLETED,1789536526974,1789536526974,0,000022C100008E63,8e+63,000022C1,36451,8897,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],22,56,FAILED,1789536526974,1789536526974,0,0,0,0,0,0,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],25,54,START,1789536530449,1789536530450,1,0000241B000097E5,9700000.0,0000241B,38885,9243,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
DE5 [1-11.2],25,55,COMPLETED,1789536530450,1789536530450,0,0000241B000097E5,9700000.0,0000241B,38885,9243,1,32,VERIFIED,WORD_ONLY,SAME_FIELD_TRUSTED_READS_ONLY
