ROLE,BOARD,CYCLE,HOST_START_MS,HOST_END_MS,DURATION_MS,WR_CORE_VALID,DIRECT_VALID,TRANSPORT_FAILURE,ROLE_IDENTITY_VALID,STATUS_RAW,STATUS_VALID,WDIAGS_CTRL_RAW,WDIAGS_CTRL_VALID,WDIAGS_CTRL_DATA_VALID,WDIAGS_CTRL_DATA_SNAPSHOT,WDIAGS_CTRL_ADDR,SSTAT_RAW,PTP_META_RAW,WR_FAILURE_RAW,WR_STATE_RAW,PSTAT_RAW,LOCK_RESULT_RAW,SPLL_STATE_RAW,ENTRY_PROBE_RAW,RESET_PROBE_RAW,RESET_PROBE_SOURCE,SI_CONFIG_DONE,WR_READY,CORE_TM_LINK_UP,CORE_LINK_OK,WR_RX_READY,WR_TX_READY,CPU_RESET_N,PHY_STATUS_PROBE0_RAW,PHY_STATUS_VALID,PHY_STATUS_SOURCE,PHY_STATUS_SOURCE_ID,PHY_STATUS_INSTANCE,PHY_STATUS_WIDTH_BITS,PHY_GATE_REQUIRED_MASK,PHY_GATE_FAILURE_BITS,PHY_RX_LOCKED_TO_DATA,PHY_RX_LOCKED_TO_REF,WR_CORE_DATA_VALID,PHY_LINK_USABLE,PTP_STATE,PD_STATE,EXT_STATE,WRC_MODE,CURRENT_WR_STATE,WR_NEXT_STATE,PSTAT_ADDR,PSTAT_LINK,PSTAT_LOCKED,SPLL_DELOCK_COUNT,BOOT_GENERATION,CPU_RESET_COUNT,WR_CORE_RESET_COUNT,SI_CONFIG_DROP_COUNT,RESET_FIELDS_VALID,RESET_CHANGED,TERMINAL,TERMINAL_STREAK,WR_FAILURE_REASON,WR_DISABLE_VALID,STOP_REASON
SLAVE,DE5 [1-11.2],1,1789542293737,1789542293826,89,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,F510DCE1353C82EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
MASTER,DE5 [1-11.1],1,1789542293935,1789542294024,89,1,1,0,1,1,1,1,1,1,0,0x00100A04,0,2010306,0,A0219864,1,0,20004,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,6110426135BC82FF,1,JTAG_PROBE0,WR_SYNC_MASTER,0,64,000000CF,NONE,1,0,1,1,6,3,1,2,3,3,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],2,1789542294643,1789542294731,88,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,1D10DC43255082EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,1,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],3,1789542295449,1789542295537,88,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,8E10DC41255082EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],4,1789542296245,1789542296334,89,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,9910DC43255082EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,1,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],5,1789542297432,1789542297520,88,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,7410DC41255082EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
MASTER,DE5 [1-11.1],2,1789542297632,1789542297721,89,1,1,0,1,1,1,1,1,1,0,0x00100A04,0,2010306,0,A0219864,1,0,20004,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,4110426135BC82FF,1,JTAG_PROBE0,WR_SYNC_MASTER,0,64,000000CF,NONE,1,0,1,1,6,3,1,2,3,3,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],6,1789542298313,1789542298400,87,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,B610DC61353C82EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],7,1789542299490,1789542299578,88,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,9810DC6135BC82EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,0,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
SLAVE,DE5 [1-11.2],8,1789542300351,1789542300439,88,1,1,0,1,1,1,1,1,1,0,0x00100A04,101,3010308,0,A041135C,1,1,30006,000000010001A4C4,00010100010101FF,JTAG_PROBE26_27,1,1,1,1,1,1,1,7C10DC43255082EF,1,JTAG_PROBE0,WR_SYNC_SLAVE,0,64,000000CF,NONE,1,1,1,1,8,3,1,3,2,2,0x00100A0C,1,0,0,1,1,0,0,1,0,0,0,0,0,NONE
