frame_index	update_id	freq_error	abs_freq_error	freq_count_before	freq_count_after	branch_id	classification
1	19874947	49	49	50	50	2	acceptance
2	19882180	27	27	50	50	2	acceptance
3	19889412	33	33	50	50	2	acceptance
4	19896645	26	26	50	50	2	acceptance
5	19903877	52	52	50	49	2	hysteresis_event
6	19911109	35	35	49	50	2	acceptance_recovery
7	19918341	32	32	50	50	2	acceptance
8	19925574	41	41	50	50	2	acceptance
9	19932806	24	24	49	50	2	acceptance_recovery
10	19940038	49	49	50	50	2	acceptance
11	19947270	42	42	50	50	2	acceptance
12	19954502	43	43	50	50	2	acceptance
13	19961734	18	18	50	50	2	acceptance
14	19968966	20	20	49	50	2	acceptance_recovery
15	19976199	22	22	50	50	2	acceptance
16	19983431	60	60	50	49	2	hysteresis_event
17	19990662	41	41	50	50	2	acceptance
