Info: *******************************************************************
Info: Running Quartus Prime Signal Tap
    Info: Version 21.3.0 Build 170 09/23/2021 SC Pro Edition
    Info: Copyright (C) 2021  Intel Corporation. All rights reserved.
    Info: Your use of Intel Corporation's design tools, logic functions 
    Info: and other software and tools, and any partner logic 
    Info: functions, and any output files from any of the foregoing 
    Info: (including device programming or simulation files), and any 
    Info: associated documentation or information are expressly subject 
    Info: to the terms and conditions of the Intel Program License 
    Info: Subscription Agreement, the Intel Quartus Prime License Agreement,
    Info: the Intel FPGA IP License Agreement, or other applicable license
    Info: agreement, including, without limitation, that your use is for
    Info: the sole purpose of programming logic devices manufactured by
    Info: Intel and sold by Intel or its authorized distributors.  Please
    Info: refer to the applicable agreement for further details, at
    Info: https://fpgasoftware.intel.com/eula.
    Info: Processing started: Sun Aug 30 16:10:28 2026
    Info: System process ID: 1121588
Info: Command: quartus_stp -t scripts/jtag/read_step5_helper_pi_state_rail_audit.tcl 600 100 "DE5 [1-11.2]"
Info: Quartus(args): 600 100 {DE5 [1-11.2]}
STEP5_PI_AUDIT_CONFIG samples=600 gap_ms=100 board_filter=DE5 [1-11.2] experiment=EXP-WRPC-STEP5-HPLL-6208-64-HELPER-PI-STATE-RAIL-AUDIT read_only=1 pi_trace_base=0x200 fresh_reset_required=1
=== DE5 [1-11.2] ===
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=1 elapsed_ms=0 FRAME_VALID=0 PI_TRACE_PRESENT=0 PI_EPOCH=INVALID PI_INTEGRATOR_BEFORE=INVALID PI_I_NEW=INVALID PI_INTEGRATOR_AFTER=INVALID PI_UNCLAMPED_OUTPUT=INVALID PI_CLAMPED_OUTPUT=INVALID PI_CLAMP_SIDE=INVALID HELPER_ERROR=INVALID HELPER_OUTPUT=INVALID FREQ_ERROR=INVALID TARGET_CODE=65531 APPLIED_CODE=5 NORMAL_COMPLETED=0 NORMAL_FINC=0 NORMAL_FDEC=0 HELPER_LOCKED=INVALID HELPER_LOCK_COUNT=INVALID BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=2 elapsed_ms=100 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=13548 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=-1147 TARGET_CODE=INVALID APPLIED_CODE=INVALID NORMAL_COMPLETED=INVALID NORMAL_FINC=INVALID NORMAL_FDEC=INVALID HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=3 elapsed_ms=200 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=15186 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=-1076 TARGET_CODE=65531 APPLIED_CODE=5 NORMAL_COMPLETED=0 NORMAL_FINC=0 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=4 elapsed_ms=300 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=17632 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=-1010 TARGET_CODE=65531 APPLIED_CODE=5 NORMAL_COMPLETED=0 NORMAL_FINC=0 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=5 elapsed_ms=400 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=20064 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=-934 TARGET_CODE=65531 APPLIED_CODE=5 NORMAL_COMPLETED=0 NORMAL_FINC=0 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=6 elapsed_ms=500 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=22486 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=-851 TARGET_CODE=65531 APPLIED_CODE=5 NORMAL_COMPLETED=0 NORMAL_FINC=0 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=7 elapsed_ms=600 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=24092 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=-791 TARGET_CODE=65531 APPLIED_CODE=5 NORMAL_COMPLETED=0 NORMAL_FINC=0 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=8 elapsed_ms=700 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=26490 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=-709 TARGET_CODE=65531 APPLIED_CODE=5 NORMAL_COMPLETED=0 NORMAL_FINC=0 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=9 elapsed_ms=800 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=30458 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=-562 TARGET_CODE=INVALID APPLIED_CODE=INVALID NORMAL_COMPLETED=INVALID NORMAL_FINC=INVALID NORMAL_FDEC=INVALID HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=10 elapsed_ms=900 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=32824 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=-483 TARGET_CODE=65531 APPLIED_CODE=5 NORMAL_COMPLETED=0 NORMAL_FINC=0 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
STEP5_PI_SAMPLE board=DE5 [1-11.2] sample=11 elapsed_ms=1000 FRAME_VALID=1 PI_TRACE_PRESENT=1 PI_EPOCH=35176 PI_INTEGRATOR_BEFORE=245696682 PI_I_NEW=245996682 PI_INTEGRATOR_AFTER=245696682 PI_UNCLAMPED_OUTPUT=65556 PI_CLAMPED_OUTPUT=65531 PI_CLAMP_SIDE=1 HELPER_ERROR=-150000 HELPER_OUTPUT=65531 FREQ_ERROR=-400 TARGET_CODE=65531 APPLIED_CODE=5 NORMAL_COMPLETED=0 NORMAL_FINC=0 NORMAL_FDEC=0 HELPER_LOCKED=0 HELPER_LOCK_COUNT=0 BOOT_GENERATION=1 CPU_RESET=1 WR_CORE_RESET=0 SI_CONFIG_DROP=0
