role,board,sample,timestamp_ms,read_valid,si_config_done,wr_ready,wr_rx_ready,wr_tx_ready,core_tm_link_up,core_link_ok,wr_rx_locked_to_data,cpu_reset_n,link_good,link_gate_streak,link_gate_pass,link_gate_pass_ms,ptp_state,pd_state,ext_state,wr_state_value,wr_tx_id,wr_disable_valid,wr_disable_cause,wr_failure_reason,lock_polls,lock_unlocked,lock_calib_fail,lock_enable,lock_success_count,spll_seq_state,pstat_locked,helper_locked,main_enabled,main_locked,main_freq_locked,main_phase_locked,boot_generation,cpu_reset_count,wr_core_reset_count,si_config_drop_count,slock_stage,slock_remaining_ms,first_slock_ms,first_success_ms,first_exit_ms,first_failure_ms,pass_ready,failure_seen,failure_class,post_event_samples,stop_candidate,same_reset_as_previous,timestamp_gap_ms
SLAVE,DE5 [1-11.2],0,0,1,1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,-1,-1,-1,-1,0,0,NONE,0,NONE,0,
SLAVE,DE5 [1-11.2],1,692,1,1,1,1,1,0,0,1,1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,692
SLAVE,DE5 [1-11.2],2,1389,1,1,1,1,1,0,0,1,1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,14,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,697
SLAVE,DE5 [1-11.2],3,2083,1,1,1,1,1,0,0,1,1,0,0,0,-1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,22,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,694
SLAVE,DE5 [1-11.2],4,2780,1,1,1,1,1,0,0,1,1,0,0,0,-1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,46,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,697
SLAVE,DE5 [1-11.2],5,3476,1,1,1,1,1,0,0,1,1,0,0,0,-1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,60,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,696
SLAVE,DE5 [1-11.2],6,4174,1,1,1,1,1,0,0,1,1,0,0,0,-1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,74,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,698
SLAVE,DE5 [1-11.2],7,4871,1,1,1,1,1,0,0,1,1,0,0,0,-1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,58,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,697
SLAVE,DE5 [1-11.2],8,5567,1,1,1,1,1,0,0,1,1,0,0,0,-1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,696
SLAVE,DE5 [1-11.2],9,6266,1,1,1,1,1,0,0,1,1,0,0,0,-1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,74,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,699
SLAVE,DE5 [1-11.2],10,6964,1,1,1,1,1,0,0,1,1,0,0,0,-1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,82,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,698
SLAVE,DE5 [1-11.2],11,7661,1,1,1,1,1,0,0,1,1,0,0,0,-1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,90,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,697
SLAVE,DE5 [1-11.2],12,8359,1,1,1,1,1,0,0,1,1,0,0,0,-1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,158,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,698
SLAVE,DE5 [1-11.2],13,9057,1,1,1,1,1,0,0,1,1,0,0,0,-1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,172,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,698
