EXP-WRPC-STEP4-TARGET-WORD-EMBEDDED-INIT-MAPPING-AUDIT-20260827
READ_ONLY = yes
NETLIST_WRITER = Quartus Prime 17.0.0 Build 595 Standard Edition

VHO inputs
MASTER = /tmp/wr_master_eda_vhdl/DE5a_wr_master_jtag.vho (current Master seed2 fit)
SLAVE = /tmp/wr_slave_eda_vhdl/DE5a_wr_slave_jtag.vho (existing Slave fit)

LOGICAL_BYTE_ADDR = 0x0001C304
LOGICAL_WORD_ADDR = 0x000070C1
BLOCK_RANGE = ram_block1a32..ram_block1a63
BLOCK_BIT_MAPPING = block32->logical bit0, ..., block63->logical bit31
BLOCK_LOCAL_ADDR = 0x000030C1
MEM_INIT_CHUNK = mem_init6
MEM_INIT_OFFSET = 193
VHO_STRING_BIT_POSITION = 1854 (2047 - 193; MSB-first init string)

The VHO EC_X... location is coordinate-normalized to the fit-summary M20K_X...
location. The target 32-bit word is striped across 32 one-bit RAM blocks.

MASTER_TARGET_BITS (block,bit,physical_m20k,mem_init6_char,target_bit)
32,0,M20K_X150_Y6_N0,9,0
33,1,M20K_X176_Y38_N0,9,0
34,2,M20K_X194_Y18_N0,9,0
35,3,M20K_X176_Y15_N0,F,1
36,4,M20K_X176_Y22_N0,B,1
37,5,M20K_X150_Y32_N0,F,1
38,6,M20K_X150_Y5_N0,D,0
39,7,M20K_X150_Y28_N0,D,0
40,8,M20K_X150_Y18_N0,F,1
41,9,M20K_X150_Y34_N0,D,0
42,10,M20K_X150_Y13_N0,9,0
43,11,M20K_X176_Y40_N0,B,1
44,12,M20K_X194_Y14_N0,B,1
45,13,M20K_X176_Y12_N0,B,1
46,14,M20K_X150_Y10_N0,B,1
47,15,M20K_X176_Y9_N0,9,0
48,16,M20K_X176_Y4_N0,3,1
49,17,M20K_X150_Y8_N0,1,0
50,18,M20K_X194_Y9_N0,1,0
51,19,M20K_X194_Y24_N0,1,0
52,20,M20K_X176_Y30_N0,1,0
53,21,M20K_X176_Y41_N0,1,0
54,22,M20K_X150_Y42_N0,1,0
55,23,M20K_X150_Y27_N0,1,0
56,24,M20K_X150_Y30_N0,1,0
57,25,M20K_X194_Y5_N0,1,0
58,26,M20K_X194_Y35_N0,1,0
59,27,M20K_X176_Y5_N0,1,0
60,28,M20K_X150_Y19_N0,1,0
61,29,M20K_X150_Y40_N0,1,0
62,30,M20K_X150_Y33_N0,1,0
63,31,M20K_X150_Y12_N0,1,0
MASTER_EMBEDDED_INIT_WORD = 0x00017938

SLAVE_TARGET_BITS (block,bit,physical_m20k,mem_init6_char,target_bit)
32,0,M20K_X150_Y24_N0,9,0
33,1,M20K_X150_Y38_N0,9,0
34,2,M20K_X176_Y25_N0,9,0
35,3,M20K_X176_Y37_N0,F,1
36,4,M20K_X176_Y14_N0,B,1
37,5,M20K_X150_Y8_N0,F,1
38,6,M20K_X176_Y11_N0,D,0
39,7,M20K_X150_Y16_N0,D,0
40,8,M20K_X176_Y10_N0,F,1
41,9,M20K_X194_Y19_N0,D,0
42,10,M20K_X150_Y11_N0,9,0
43,11,M20K_X176_Y19_N0,B,1
44,12,M20K_X150_Y17_N0,B,1
45,13,M20K_X150_Y39_N0,B,1
46,14,M20K_X206_Y10_N0,B,1
47,15,M20K_X176_Y36_N0,9,0
48,16,M20K_X194_Y17_N0,3,1
49,17,M20K_X194_Y26_N0,1,0
50,18,M20K_X194_Y30_N0,1,0
51,19,M20K_X206_Y22_N0,1,0
52,20,M20K_X150_Y9_N0,1,0
53,21,M20K_X150_Y15_N0,1,0
54,22,M20K_X206_Y11_N0,1,0
55,23,M20K_X176_Y31_N0,1,0
56,24,M20K_X194_Y25_N0,1,0
57,25,M20K_X194_Y8_N0,1,0
58,26,M20K_X176_Y29_N0,1,0
59,27,M20K_X176_Y22_N0,1,0
60,28,M20K_X194_Y28_N0,1,0
61,29,M20K_X150_Y34_N0,1,0
62,30,M20K_X176_Y9_N0,1,0
63,31,M20K_X176_Y8_N0,1,0
SLAVE_EMBEDDED_INIT_WORD = 0x00017938

RUNTIME_COMPARISON_FROM_PRIOR_AUDIT
MASTER_RAW_Q_B = 0x00017956
SLAVE_RAW_Q_B = 0x00017938
INTERPRETATION = embedded init content matches MIF on both sides; runtime read/decode path remains under investigation

