role,board,sample,elapsed_ms,read_start_ms,read_end_ms,transport_valid,core_frame_valid,role_identity_valid,phy_link_usable,boot_generation,cpu_reset_count,wr_core_reset_count,si_config_drop_count,reset_stable,ptp_state,pd_state,ext_state,wr_state,wr_disable_valid,wr_failure_reason,main_core_valid,main_trace_valid,main_detector_valid,main_detector_stable,main_enabled,main_freq_locked,main_phase_locked,main_phase_input_domain,main_phase_inband,main_pi_x,main_phase_threshold,main_sample_n,main_sample_n_delta,main_sample_n_delta_ambiguous,main_sample_n_advanced,producer_fresh_vs_previous,main_publication_epoch,publication_coherent,helper_measurement_ok,helper_locked,helper_error,helper_output,helper_target_code,helper_applied_code,helper_residual_present,helper_measurement_residual_present,position_ok,l2_valid,l2_main_pending,l2_helper_pending,l2_main_pending_count,l2_helper_pending_count,l2_main_start_count,l2_helper_start_count,l2_main_completed_count,l2_helper_completed_count,l2_main_failed_count,l2_helper_failed_count,acquisition_diagnostic_allowed,entry_class,stop_reason,gap_ms,same_reset_as_previous
SLAVE,DE5 [1-11.2],1,0,1789456644214,1789456645790,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,1,1,1,0,PHASE,0,-7360,1200,29082,,0,0,0,470,1,0,1,,,54027,54021,1,,1,1,1,0,8038,3388,6254,5834,6253,5834,0,0,1,ELIGIBLE,NONE,,0
SLAVE,DE5 [1-11.2],2,3138,1789456647348,1789456648944,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,1,1,1,0,PHASE,0,6467,1200,43534,14452,0,1,1,474,1,0,1,,,,,,,0,1,1,0,10446,3388,8434,6167,8433,6167,0,0,1,ELIGIBLE,NONE,3138,1
SLAVE,DE5 [1-11.2],3,5235,1789456649445,1789456651045,0,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,1,1,1,0,PHASE,0,-6633,1200,50757,7223,0,1,1,476,1,0,1,,,,,,,0,1,1,0,12050,3388,9909,6385,9908,6385,0,0,1,ELIGIBLE,NONE,2097,1
SLAVE,DE5 [1-11.2],4,9454,1789456653664,1789456655236,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,1,1,1,0,PHASE,0,4408,1200,65213,14456,0,1,1,480,1,0,1,,,54591,54597,1,,1,1,1,0,15286,3388,12835,6785,12834,6785,0,0,1,ELIGIBLE,NONE,4219,1
SLAVE,DE5 [1-11.2],5,11526,1789456655736,1789456657335,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,0,1,1,0,PHASE,0,-5915,1200,72436,7223,0,1,1,482,1,0,1,,,,,,,0,1,1,0,16945,3388,14391,6920,14391,6920,0,0,1,ELIGIBLE,NONE,2072,1
SLAVE,DE5 [1-11.2],6,14944,1789456659154,1789456660724,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,1,1,1,0,PHASE,0,-8181,1200,86893,14457,0,1,1,486,1,0,1,,,54942,54917,1,,1,1,1,0,19542,3388,16723,7286,16722,7286,0,0,1,ELIGIBLE,NONE,3418,1
SLAVE,DE5 [1-11.2],7,17015,1789456661225,1789456662825,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,0,1,1,0,PHASE,0,-4239,1200,94122,7229,0,1,1,488,1,0,1,,,,,,,0,1,1,0,21156,3388,18201,7499,18201,7499,0,0,1,ELIGIBLE,NONE,2071,1
SLAVE,DE5 [1-11.2],8,20438,1789456664648,1789456666209,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,1,1,1,0,PHASE,1,-1100,1200,108570,14448,0,1,1,492,1,0,1,,,55172,55173,1,,1,1,1,0,23753,3388,20541,7842,20540,7842,0,0,1,ELIGIBLE,NONE,3423,1
SLAVE,DE5 [1-11.2],9,22501,1789456666711,1789456668310,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,1,1,1,0,PHASE,0,1938,1200,115796,7226,0,1,1,494,1,0,1,,,,,,,0,1,1,0,25364,3388,22009,8066,22009,8066,0,0,1,ELIGIBLE,NONE,2063,1
SLAVE,DE5 [1-11.2],10,26446,1789456670656,1789456672226,1,1,1,1,1,1,0,0,1,8,3,1,2,0,0,1,1,1,1,1,1,0,PHASE,0,1715,1200,130253,14457,0,1,1,498,1,0,1,,,55427,55429,1,,1,1,0,0,28412,3388,24834,8358,24833,8358,0,0,1,ELIGIBLE,NONE,3945,1
