board,profile,cycle,retry_n,host_start_ms,host_end_ms,duration_ms,raw_epoch_before,raw_tag_delta,raw_expected_delta,raw_freq_error,raw_preclamp_error,raw_helper_error,raw_update_count,raw_helper_output,raw_dmtd_ref_accept_count,raw_dmtd_fb_accept_count,raw_epoch_after,epoch_before,epoch_after,update_count,helper_error,helper_output,transport_error,parse_error,odd_or_sentinel,epoch_changed,arithmetic_mismatch,range_mismatch,accepted,owner_unverified,reason,shape_valid
DE5 [1-11.2],FULL,1,1,1789464165626,1789464165746,120,000355E4,00003FFC,00004000,FFFFFFFC,FFFFFFA5,FFFFFFA5,0001AC72,0000D3D1,070F9CC1,0791EC48,000358E4,218596,219364,109682,-91,54225,0,0,0,1,0,0,0,1,EPOCH_CHANGED,1
DE5 [1-11.2],FULL,1,2,1789464165747,1789464165867,120,000358E4,00004001,00004000,00000005,FFFFFFAC,FFFFFFAC,0001ADF4,0000D3E4,070F9E43,0791EDC9,00035BE8,219364,220136,110068,-84,54244,0,0,0,1,1,0,0,1,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",1
DE5 [1-11.2],FULL,1,3,1789464165869,1789464165989,120,00035ED6,00004010,00004000,00000010,00000022,00000022,0001AF6B,0000D3A8,070F9FBA,0791F0C1,000361DC,220886,221660,110443,34,54184,0,0,0,1,0,0,0,1,EPOCH_CHANGED,1
DE5 [1-11.2],FULL,1,4,1789464165990,1789464166111,121,000361DC,00004008,00004000,00000008,00000000,00000000,0001B0EE,0000D39D,070FA2BD,0791F240,000364DC,221660,222428,110830,0,54173,0,0,0,1,0,0,0,1,EPOCH_CHANGED,1
DE5 [1-11.2],FULL,1,5,1789464166112,1789464166232,120,000364DC,00004003,00004000,00000003,0000002E,0000006A,0001B3E5,0000D36E,070FA434,0791F3B6,000367CA,222428,223178,111589,106,54126,0,0,0,1,0,0,0,1,EPOCH_CHANGED,1
DE5 [1-11.2],FULL,1,6,1789464166233,1789464166353,120,000367CA,00004001,00004000,0000000F,00000063,00000063,0001B565,0000D360,070FA5B4,0791F535,00036ACA,223178,223946,111973,99,54112,0,0,0,1,1,0,0,1,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",1
DE5 [1-11.2],FULL,1,7,1789464166354,1789464166474,120,00036ACA,00004002,00004000,00000002,FFFFFFB4,FFFFFFB4,0001B6DD,0000D3BB,070FA72C,0791F6AB,000370BA,223946,225466,112349,-76,54203,0,0,0,1,0,0,0,1,EPOCH_CHANGED,1
DE5 [1-11.2],FULL,1,8,1789464166475,1789464166595,120,000370BA,00004005,00004000,00000005,FFFFFFCF,FFFFFFCF,0001B85D,0000D3BF,070FAA2D,0791F9AA,000373BC,225466,226236,112733,-49,54207,0,0,0,1,0,0,0,1,EPOCH_CHANGED,1
DE5 [1-11.2],FULL,3,1,1789464167972,1789464168093,121,00039D7C,00004005,00004000,00000005,FFFFFFD2,FFFFFFD2,0001CEBE,0000D31E,070FC083,07920FF1,0003A068,236924,237672,118462,-46,54046,0,0,0,1,0,0,0,1,EPOCH_CHANGED,1
DE5 [1-11.2],FULL,3,2,1789464168094,1789464168215,121,0003A068,00003FF2,00004000,FFFFFFF2,FFFFFFC9,FFFFFFC9,0001D034,0000D34B,070FC203,07921170,0003A368,237672,238440,118836,-55,54091,0,0,0,1,0,0,0,1,EPOCH_CHANGED,1
DE5 [1-11.2],FULL,3,3,1789464168216,1789464168336,120,0003A368,00003FF8,00004000,FFFFFFF8,FFFFFFAB,FFFFFFEC,0001D334,0000D331,070FC383,079212EE,0003A668,238440,239208,119604,-20,54065,0,0,0,1,0,0,0,1,EPOCH_CHANGED,1
DE5 [1-11.2],FULL,3,4,1789464168338,1789464168458,120,0003A668,00003FFE,00004000,FFFFFFFB,FFFFFFD4,FFFFFFD4,0001D4AA,0000D341,070FC4F9,07921463,0003A954,239208,239956,119978,-44,54081,0,0,0,1,1,0,0,1,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",1
DE5 [1-11.2],FULL,3,5,1789464168459,1789464168580,121,0003A954,00003FF7,00004000,FFFFFFF7,FFFFFFC0,FFFFFFC0,0001D62A,0000D357,070FC679,079215E2,0003AF58,239956,241496,120362,-64,54103,0,0,0,1,0,0,0,1,EPOCH_CHANGED,1
DE5 [1-11.2],FULL,3,6,1789464168581,1789464168702,121,0003AF58,00003FF6,00004000,FFFFFFF6,FFFFFFFB,FFFFFFFB,0001D7AC,0000D33D,070FC974,079218DB,0003B24A,241496,242250,120748,-5,54077,0,0,0,1,0,0,0,1,EPOCH_CHANGED,1
DE5 [1-11.2],FULL,3,7,1789464168703,1789464168823,120,0003B24A,00003FFF,00004000,FFFFFFFF,0000005E,0000005E,0001DAAA,0000D30D,070FCAF9,07921A5F,0003B554,242250,243028,121514,94,54029,0,0,0,1,0,0,0,1,EPOCH_CHANGED,1
DE5 [1-11.2],FULL,3,8,1789464168825,1789464168945,120,0003B554,00003FF2,00004000,FFFFFFF2,0000005B,0000005B,0001DC20,0000D2E8,070FCC6F,07921BD4,0003B840,243028,243776,121888,91,53992,0,0,0,1,0,0,0,1,EPOCH_CHANGED,1
DE5 [1-11.2],FULL,5,1,1789464170442,1789464170563,121,0003E4F6,00004005,00004000,FFFFFFFA,FFFFFFDC,FFFFFFDC,0001F3FB,0000D399,070FE44A,0792339E,0003E7F6,255222,255990,127995,-36,54169,0,0,0,1,1,0,0,1,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",1
DE5 [1-11.2],FULL,5,2,1789464170564,1789464170685,121,0003EAE6,00004002,00004000,00000002,00000040,00000040,0001F573,0000D35D,070FE5C2,07923694,0003EDE6,256742,257510,128371,64,54109,0,0,0,1,0,0,0,1,EPOCH_CHANGED,1
DE5 [1-11.2],FULL,5,3,1789464170686,1789464170806,120,0003EDE6,00004006,00004000,00000006,00000002,00000002,0001F6F3,0000D369,070FE8C4,07923815,0003F0EA,257510,258282,128755,2,54121,0,0,0,1,0,0,0,1,EPOCH_CHANGED,1
DE5 [1-11.2],FULL,5,4,1789464170808,1789464170928,120,0003F0EA,00003FFE,00004000,FFFFFFFE,00000016,0000001D,0001F9EF,0000D360,070FEA3E,0792398E,0003F3DE,258282,259038,129519,29,54112,0,0,0,1,0,0,0,1,EPOCH_CHANGED,1
DE5 [1-11.2],FULL,5,5,1789464170929,1789464171051,122,0003F3DE,00004007,00004000,FFFFFFFD,FFFFFFDE,FFFFFFDE,0001FB6F,0000D383,070FEBBE,07923B0C,0003F6DE,259038,259806,129903,-34,54147,0,0,0,1,1,0,0,1,"EPOCH_CHANGED,ARITHMETIC_MISMATCH",1
DE5 [1-11.2],FULL,5,6,1789464171052,1789464171172,120,0003F6DE,00004002,00004000,00000002,FFFFFFD2,FFFFFFD2,0001FCE5,0000D395,070FED34,07923C81,0003FCD4,259806,261332,130277,-46,54165,0,0,0,1,0,0,0,1,EPOCH_CHANGED,1
