BOARD,PROFILE,CYCLE,ATTEMPTS,ACCEPTED,PROFILE_START_MS,PROFILE_END_MS,PROFILE_DURATION_MS,OWNER_UNVERIFIED
DE5 [1-11.2],FULL,1,8,0,1789464165491,1789464166596,1105,1
DE5 [1-11.2],CORE,2,2,1,1789464167097,1789464167341,244,1
DE5 [1-11.2],FULL,3,8,0,1789464167842,1789464168947,1105,1
DE5 [1-11.2],CORE,4,1,1,1789464169447,1789464169639,192,1
DE5 [1-11.2],FULL,5,8,0,1789464170305,1789464171417,1112,1
DE5 [1-11.2],CORE,6,2,1,1789464171918,1789464172162,244,1
DE5 [1-11.2],FULL,7,8,0,1789464172663,1789464173783,1120,1
DE5 [1-11.2],CORE,8,2,1,1789464174284,1789464174531,247,1
DE5 [1-11.2],FULL,9,8,0,1789464175031,1789464176133,1102,1
DE5 [1-11.2],CORE,10,1,1,1789464176633,1789464176821,188,1
DE5 [1-11.2],FULL,11,8,0,1789464177321,1789464178423,1102,1
DE5 [1-11.2],CORE,12,2,1,1789464178923,1789464179169,246,1
DE5 [1-11.2],FULL,13,8,0,1789464179669,1789464180767,1098,1
DE5 [1-11.2],CORE,14,1,1,1789464181267,1789464181453,186,1
DE5 [1-11.2],FULL,15,8,0,1789464181954,1789464183054,1100,1
DE5 [1-11.2],CORE,16,1,1,1789464183554,1789464183740,186,1
DE5 [1-11.2],FULL,17,8,0,1789464184240,1789464185350,1110,1
DE5 [1-11.2],CORE,18,1,1,1789464185850,1789464186033,183,1
DE5 [1-11.2],FULL,19,8,0,1789464186534,1789464187641,1107,1
DE5 [1-11.2],CORE,20,1,1,1789464188141,1789464188329,188,1
DE5 [1-11.2],FULL,21,8,0,1789464188829,1789464189939,1110,1
DE5 [1-11.2],CORE,22,1,1,1789464190442,1789464190627,185,1
DE5 [1-11.2],FULL,23,8,0,1789464191127,1789464192240,1113,1
DE5 [1-11.2],CORE,24,1,1,1789464192740,1789464192927,187,1
DE5 [1-11.2],FULL,25,8,0,1789464193427,1789464194535,1108,1
DE5 [1-11.2],CORE,26,1,1,1789464195035,1789464195221,186,1
