BOARD,CYCLE,RETRY_N,HOST_START_MS,HOST_END_MS,DURATION_MS,RAW_EPOCH_BEFORE,RAW_HELPER_ERROR,RAW_UPDATE_COUNT,RAW_HELPER_OUTPUT,RAW_EPOCH_AFTER,EPOCH_BEFORE,EPOCH_AFTER,HELPER_ERROR,UPDATE_COUNT,HELPER_OUTPUT,TRANSPORT_ERROR,PARSE_ERROR,ODD_OR_SENTINEL,EPOCH_CHANGED,RANGE_MISMATCH,ACCEPTED,OWNER_UNVERIFIED,DYNAMIC_OWNER,REASON
DE5 [1-11.2],1,1,1789467878459,1789467878515,56,000143A6,FFFFFF9D,0000A1D3,0000D006,000143A6,82854,82854,-99,41427,53254,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],2,1,1789467879702,1789467879757,55,16766,FFFFFFD1,0000B52A,0000D161,00016A54,92006,92756,-47,46378,53601,0,0,0,1,0,0,1,NOT_AVAILABLE,EPOCH_CHANGED
DE5 [1-11.2],2,2,1789467879759,1789467879815,56,00016A54,FFFFFFD1,0000B52A,0000D161,00016A54,92756,92756,-47,46378,53601,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],3,1,1789467881010,1789467881066,56,19112,FFFFFF4A,0000C889,0000D1A3,19112,102674,102674,-182,51337,53667,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],4,1,1789467882293,1789467882349,56,0001B4DE,FFFFFF43,0000DBEF,0000D1D8,0001B7DE,111838,112606,-189,56303,53720,0,0,0,1,0,0,1,NOT_AVAILABLE,EPOCH_CHANGED
DE5 [1-11.2],4,2,1789467882350,1789467882406,56,0001B7DE,FFFFFF32,0000DBEF,0000D1D8,0001B7DE,112606,112606,-206,56303,53720,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],5,1,1789467883655,1789467883711,56,0001DE94,FFFFFF5D,0000EF4A,0000D22E,0001DE94,122516,122516,-163,61258,53806,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],6,1,1789467884901,1789467884956,55,20256,0000000B,000102AB,0000D202,20556,131670,132438,11,66219,53762,0,0,0,1,0,0,1,NOT_AVAILABLE,EPOCH_CHANGED
DE5 [1-11.2],6,2,1789467884958,1789467885014,56,20556,0000000B,000102AB,0000D202,20556,132438,132438,11,66219,53762,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],7,1,1789467886234,1789467886290,56,00022C14,0000000A,0001160A,0000D1FD,00022C14,142356,142356,10,71178,53757,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],8,1,1789467887494,1789467887550,56,00024FD2,0000005B,12969,0000D1E3,000252D2,151506,152274,91,76137,53731,0,0,0,1,0,0,1,NOT_AVAILABLE,EPOCH_CHANGED
DE5 [1-11.2],8,2,1789467887551,1789467887608,57,000252D2,29,12969,0000D1E3,000252D2,152274,152274,41,76137,53731,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],9,1,1789467888822,1789467888878,56,0002798C,FFFFFFA4,00013CC6,0000D2AB,0002798C,162188,162188,-92,81094,53931,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],10,1,1789467890116,1789467890173,57,0002A04E,52,15027,0000D24C,0002A04E,172110,172110,82,86055,53836,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],11,1,1789467891401,1789467891457,56,0002C40C,77,16387,0000D2B3,0002C70E,181260,182030,119,91015,53939,0,0,0,1,0,0,1,NOT_AVAILABLE,EPOCH_CHANGED
DE5 [1-11.2],11,2,1789467891458,1789467891514,56,0002C70E,77,16387,0000D2B3,0002C70E,182030,182030,119,91015,53939,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],12,1,1789467892724,1789467892781,57,0002EDC8,000000F2,1760000.0,0000D172,0002EDC8,191944,191944,242,95972,53618,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],13,1,1789467894017,1789467894073,56,0003147E,000000B3,00018A3F,0000D228,0003147E,201854,201854,179,100927,53800,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],14,1,1789467895565,1789467895620,55,0003413A,17,0001A09D,0000D1A6,0003443A,213306,214074,23,106653,53670,0,0,0,1,0,0,1,NOT_AVAILABLE,EPOCH_CHANGED
DE5 [1-11.2],14,2,1789467895622,1789467895678,56,0003443A,FFFFFF9E,0001A21D,0000D1F1,0003443A,214074,214074,-98,107037,53745,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],15,1,1789467896864,1789467896919,55,000367F6,FFFFFF72,0001B3FB,0000D350,000367F6,223222,223222,-142,111611,54096,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],16,1,1789467898101,1789467898157,56,00038BBC,85,0001C75E,0000D381,00038EBC,232380,233148,133,116574,54145,0,0,0,1,0,0,1,NOT_AVAILABLE,EPOCH_CHANGED
DE5 [1-11.2],16,2,1789467898158,1789467898215,57,00038EBC,85,0001C75E,0000D381,00038EBC,233148,233148,133,116574,54145,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],17,1,1789467899438,1789467899494,56,0003B56A,0000005B,0001DAB5,0000D39F,0003B56A,243050,243050,91,121525,54175,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],18,1,1789467900674,1789467900730,56,0003D934,95,0001EC9A,0000D372,0003DC34,252212,252980,149,126106,54130,0,0,0,1,0,0,1,NOT_AVAILABLE,EPOCH_CHANGED
DE5 [1-11.2],18,2,1789467900731,1789467900787,56,0003DC34,0000001A,0001EE1A,0000D3A8,0003DC34,252980,252980,26,126490,54184,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],19,1,1789467901998,1789467902055,57,0003FFF0,FFFFFFA4,20179,0000D41B,000402F2,262128,262898,-92,131449,54299,0,0,0,1,0,0,1,NOT_AVAILABLE,EPOCH_CHANGED
DE5 [1-11.2],19,2,1789467902057,1789467902114,57,000402F2,FFFFFFA4,20179,0000D41B,000402F2,262898,262898,-92,131449,54299,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],20,1,1789467903360,1789467903418,58,000429B2,FFFFFF22,000214D9,0000D47C,000429B2,272818,272818,-222,136409,54396,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],21,1,1789467904654,1789467904710,56,0004506C,FFFFFF59,22836,0000D568,0004506C,282732,282732,-167,141366,54632,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],22,1,1789467905926,1789467905983,57,47720,FFFFFFB7,00023B90,0000D3E8,47720,292640,292640,-73,146320,54248,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],23,1,1789467907202,1789467907258,56,00049ADE,FFFFFFC9,00024EF0,0000D4E7,00049DE0,301790,302560,-55,151280,54503,0,0,0,1,0,0,1,NOT_AVAILABLE,EPOCH_CHANGED
DE5 [1-11.2],23,2,1789467907259,1789467907317,58,00049DE0,FFFFFFC9,00024EF0,0000D4E7,00049DE0,302560,302560,-55,151280,54503,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],24,1,1789467908810,1789467908867,57,0004CD98,FFFFFE90,000266CC,0000D5ED,0004CD98,314776,314776,-368,157388,54765,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],25,1,1789467910337,1789467910394,57,0004FA46,FFFFFFE9,00027D23,0000D54B,0004FA46,326214,326214,-23,163107,54603,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],26,1,1789467911625,1789467911681,56,52106,171,29083,0000D453,52106,336134,336134,369,168067,54355,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],27,1,1789467912865,1789467912923,58,000544CC,0000007C,0002A266,0000D513,000547B8,345292,346040,124,172646,54547,0,0,0,1,0,0,1,NOT_AVAILABLE,EPOCH_CHANGED
DE5 [1-11.2],27,2,1789467912924,1789467912980,56,000547B8,0000003A,0002A3DC,0000D525,000547B8,346040,346040,58,173020,54565,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],28,1,1789467914175,1789467914231,56,00056B86,FFFFFF88,0002B5C3,0000D5F5,5.6e+87,355206,355974,-120,177603,54773,0,0,0,1,0,0,1,NOT_AVAILABLE,EPOCH_CHANGED
DE5 [1-11.2],28,2,1789467914232,1789467914289,57,5.6e+87,FFFFFFC7,0002B743,0000D5E1,5.6e+87,355974,355974,-57,177987,54753,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],29,1,1789467915534,1789467915590,56,0005953C,FFFFFFD9,0002CA9E,0000D5F3,0005953C,365884,365884,-39,182942,54771,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],30,1,1789467916797,1789467916854,57,0005B8FC,73,0002DDFE,0000D59B,0005BBFC,375036,375804,115,187902,54683,0,0,0,1,0,0,1,NOT_AVAILABLE,EPOCH_CHANGED
DE5 [1-11.2],30,2,1789467916855,1789467916911,56,0005BBFC,73,0002DDFE,0000D59B,0005BBFC,375804,375804,115,187902,54683,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],31,1,1789467918125,1789467918181,56,0005E2B6,FFFFFFF8,0002F15B,0000D636,0005E2B6,385718,385718,-8,192859,54838,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],32,1,1789467919426,1789467919483,57,60972,FFFFFFC4,000304B9,0000D669,60972,395634,395634,-60,197817,54889,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],33,1,1789467920686,1789467920743,57,00062D36,FFFFFFC6,0003169B,0000D6D4,63036,404790,405558,-58,202395,54996,0,0,0,1,0,0,1,NOT_AVAILABLE,EPOCH_CHANGED
DE5 [1-11.2],33,2,1789467920744,1789467920801,57,63036,FFFFFF6D,0003181B,0000D6D4,63036,405558,405558,-147,202779,54996,0,0,0,0,0,1,1,NOT_AVAILABLE,NONE
DE5 [1-11.2],34,1,1789467922006,1789467922062,56,000653EA,30,00032B75,0000D69B,000656EA,414698,415466,48,207733,54939,0,0,0,1,0,0,1,NOT_AVAILABLE,EPOCH_CHANGED
DE5 [1-11.2],34,2,1789467922063,1789467922120,57,000656EA,30,00032B75,0000D69B,000659EA,415466,416234,48,207733,54939,0,0,0,1,0,0,1,NOT_AVAILABLE,EPOCH_CHANGED
