bin_index,bin_start_ms,bin_end_ms,helper_fresh_count,main_fresh_count,phase_qualified_count,phase_locked_count,wr_core_valid_count,helper_demand_count,main_demand_count,main_completed_delta,helper_completed_delta,main_start_delta,helper_start_delta,main_completed_service_window,helper_completed_service_window,main_start_service_window,helper_start_service_window,main_completed_delta_samples,helper_completed_delta_samples,service_ambiguous_count,helper_core_rows,main_core_rows,detector_rows,wr_core_rows,demand_rows,service_rows,qualified_bin
0,0,10000,7,5,7,0,11,0,0,6147,789,6147,789,TRUSTED,TRUSTED,TRUSTED,TRUSTED,7,7,0,17,8,8,11,0,24,1
1,10000,20000,8,5,8,0,11,0,0,6920,810,6920,810,TRUSTED,TRUSTED,TRUSTED,TRUSTED,8,8,0,16,9,9,11,0,27,1
2,20000,30000,9,6,8,0,12,0,0,5960,652,5960,652,TRUSTED,TRUSTED,TRUSTED,TRUSTED,7,7,0,13,8,8,12,0,24,1
3,30000,40000,8,5,8,0,10,0,0,5980,696,5979,696,TRUSTED,TRUSTED,TRUSTED,TRUSTED,7,7,0,16,8,8,10,0,24,1
4,40000,50000,9,5,8,0,12,0,0,6831,780,6832,780,TRUSTED,TRUSTED,TRUSTED,TRUSTED,8,8,0,16,9,9,12,0,27,1
5,50000,60000,8,5,8,0,11,0,0,5762,746,5762,746,TRUSTED,TRUSTED,TRUSTED,TRUSTED,7,7,0,13,8,8,11,0,24,1
6,60000,70000,8,5,8,0,11,0,0,6854,627,6854,627,TRUSTED,TRUSTED,TRUSTED,TRUSTED,8,8,0,14,9,9,11,0,27,1
7,70000,80000,9,6,9,0,11,0,0,5755,899,5755,899,TRUSTED,TRUSTED,TRUSTED,TRUSTED,7,7,0,15,8,8,11,0,24,1
8,80000,90000,8,5,7,0,11,0,0,5853,773,5853,773,TRUSTED,TRUSTED,TRUSTED,TRUSTED,7,7,0,13,8,8,11,0,24,1
9,90000,100000,8,5,8,0,11,0,0,6057,966,6056,966,TRUSTED,TRUSTED,TRUSTED,TRUSTED,7,7,0,12,8,8,11,0,24,1
10,100000,110000,9,6,9,0,11,0,0,6718,893,6718,893,TRUSTED,TRUSTED,TRUSTED,TRUSTED,8,8,0,14,9,9,12,0,27,1
11,110000,120000,8,5,8,0,11,0,0,6033,591,6033,591,TRUSTED,TRUSTED,TRUSTED,TRUSTED,7,7,0,15,8,8,11,0,24,1
