BIN_INDEX,BIN_START_MS,BIN_END_MS,MAIN_UNIQUE_COUNT,MAIN_PROGRESS_COUNT,MAIN_PHASE_DOMAIN_COUNT,MAIN_FREQUENCY_DOMAIN_COUNT,MAIN_PHASE_LOCKED_COUNT,DETECTOR_ROW_COUNT,HELPER_CORE_VALID_COUNT,HELPER_STATE_VALID_COUNT,HELPER_LOCKED_COUNT,HELPER_RESIDUAL_PRESENT_COUNT,HELPER_PENDING_COUNT,MAIN_PENDING_COUNT,WR_PHY_VALID_COUNT,TERMINAL_COUNT,SERVICE_ROW_COUNT,MAIN_COMPLETED_DELTA,HELPER_COMPLETED_DELTA,MAIN_START_DELTA,HELPER_START_DELTA,MAIN_COMPLETED_SERVICE_WINDOW,HELPER_COMPLETED_SERVICE_WINDOW,SERVICE_AMBIGUOUS_COUNT,STOP_REASON_OBSERVED,BACKGROUND_VALID
0,0,10000,1,0,0,1,0,8,8,9,9,5,0,0,11,0,24,6147,789,6147,789,TRUSTED,TRUSTED,0,NONE,1
1,10000,20000,3,3,3,0,0,9,8,8,8,8,0,0,11,0,27,6920,810,6920,810,TRUSTED,TRUSTED,0,NONE,1
2,20000,30000,3,3,3,0,0,8,9,8,8,5,0,0,12,0,24,5960,652,5960,652,TRUSTED,TRUSTED,0,NONE,1
3,30000,40000,5,5,5,0,0,8,8,9,9,4,0,0,10,0,24,5980,696,5979,696,TRUSTED,TRUSTED,0,NONE,1
4,40000,50000,5,5,5,0,0,9,9,8,8,8,0,0,12,0,27,6831,780,6832,780,TRUSTED,TRUSTED,0,NONE,1
5,50000,60000,5,5,4,1,0,8,8,8,8,6,0,0,11,0,24,5762,746,5762,746,TRUSTED,TRUSTED,0,NONE,1
6,60000,70000,6,6,6,0,0,9,8,9,9,4,0,0,11,0,27,6854,627,6854,627,TRUSTED,TRUSTED,0,NONE,1
7,70000,80000,5,5,4,1,0,8,9,8,8,6,0,0,11,0,24,5755,899,5755,899,TRUSTED,TRUSTED,0,NONE,1
8,80000,90000,5,5,5,0,0,8,8,8,8,5,0,0,11,0,24,5853,773,5853,773,TRUSTED,TRUSTED,0,NONE,1
9,90000,100000,1,1,0,1,0,8,8,9,9,5,0,0,11,0,24,6057,966,6056,966,TRUSTED,TRUSTED,0,NONE,1
10,100000,110000,5,5,4,1,0,9,9,8,8,5,0,0,11,0,27,6718,893,6718,893,TRUSTED,TRUSTED,0,NONE,1
11,110000,120000,5,5,5,0,0,8,8,8,8,6,0,0,11,0,24,6033,591,6033,591,TRUSTED,TRUSTED,0,NONE,1
