SOURCE_FAMILY,BOARD,CYCLE,HOST_START_MS,HOST_END_MS,MAIN_TRACE_VALID,PUBLICATION_COHERENT,MAIN_TRACE_EPOCH_RAW_BEFORE,MAIN_TRACE_EPOCH_RAW_AFTER,MAIN_PUBLICATION_EPOCH,MAIN_SAMPLE_N,MAIN_STATE,MAIN_ENABLED,MAIN_FREQ_LOCKED,MAIN_PHASE_LOCKED,MAIN_LOCKED,MAIN_DOMAIN,MAIN_DREF_DT,MAIN_DOUT_DT,MAIN_FREQ_ERROR,MAIN_PRELOCK_ERROR,MAIN_PI_X,MAIN_PI_OUTPUT,MAIN_PI_CLAMP_SIDE,MAIN_TRACE_MAGIC,FREQ_ERROR_SIGN,FREQ_ERROR_PAIR_CHECK,PRODUCER_DOMAIN_COHERENCE,MAIN_TRACE_UNIQUE,TRACE_DEDUP_SKIPPED,MAIN_SAMPLE_N_DELTA,MAIN_SAMPLE_N_ADVANCED,MAIN_SAMPLE_N_AMBIGUOUS,MAIN_PUBLICATION_STALE
F4I,DE5 [1-11.2],,1789536501303,1789536501565,1,1,440,440,440,101154,3,1,1,0,0,PHASE,16382,16430,48,-960,-7361,11203,0,1,POSITIVE,PASS,UNPROVEN,1,0,,0,0,0
F4I,DE5 [1-11.2],,1789536502496,1789536502758,1,1,442,442,442,108380,3,1,1,0,0,PHASE,16378,16435,57,-1140,-963,11867,0,1,POSITIVE,PASS,UNPROVEN,1,0,7226,1,0,0
F4I,DE5 [1-11.2],,1789536504782,1789536505049,1,1,444,444,444,115608,3,1,1,0,0,PHASE,16389,16434,45,-900,2556,12134,0,1,POSITIVE,PASS,UNPROVEN,1,0,7228,1,0,0
F4I,DE5 [1-11.2],,1789536507127,1789536507394,1,1,446,446,446,122833,3,1,1,0,0,PHASE,16384,16437,53,-1060,-1154,11922,0,1,POSITIVE,PASS,UNPROVEN,1,0,7225,1,0,0
F4I,DE5 [1-11.2],,1789536508335,1789536508601,1,1,448,448,448,130059,3,1,1,0,0,PHASE,16384,16427,43,-860,-6725,11242,0,1,POSITIVE,PASS,UNPROVEN,1,0,7226,1,0,0
F4I,DE5 [1-11.2],,1789536510724,1789536510989,1,1,450,450,450,137284,3,1,1,0,0,PHASE,16387,16438,51,-1020,-2198,11743,0,1,POSITIVE,PASS,UNPROVEN,1,0,7225,1,0,0
F4I,DE5 [1-11.2],,1789536511935,1789536512201,1,1,452,452,452,144506,3,1,1,0,0,PHASE,16372,16436,64,-1280,-3333,11600,0,1,POSITIVE,PASS,UNPROVEN,1,0,7222,1,0,0
F4I,DE5 [1-11.2],,1789536514210,1789536514478,1,1,454,454,454,151733,3,1,1,0,0,PHASE,16396,16431,35,-700,-5722,11431,0,1,POSITIVE,PASS,UNPROVEN,1,0,7227,1,0,0
F4I,DE5 [1-11.2],,1789536516592,1789536516857,1,1,456,456,456,158962,3,1,1,0,0,PHASE,16397,16432,35,-700,3410,12053,0,1,POSITIVE,PASS,UNPROVEN,1,0,7229,1,0,0
F4I,DE5 [1-11.2],,1789536517746,1789536518008,1,1,458,458,458,166188,3,1,1,0,0,PHASE,16386,16434,48,-960,5436,12222,0,1,POSITIVE,PASS,UNPROVEN,1,0,7226,1,0,0
F4I,DE5 [1-11.2],,1789536520120,1789536520384,1,1,460,460,460,173412,3,1,1,0,0,PHASE,16376,16428,52,-1040,-6245,11223,0,1,POSITIVE,PASS,UNPROVEN,1,0,7224,1,0,0
F4I,DE5 [1-11.2],,1789536521323,1789536521852,1,1,462,462,462,180640,1,1,0,0,0,FREQUENCY,16383,16435,52,-1040,-1040,11635,0,1,POSITIVE,PASS,UNPROVEN,1,0,7228,1,0,0
F4I,DE5 [1-11.2],,1789536523943,1789536524206,1,1,464,464,464,187872,3,1,1,0,0,PHASE,16379,16429,50,-1000,4930,11965,0,1,POSITIVE,PASS,UNPROVEN,1,0,7232,1,0,0
F4I,DE5 [1-11.2],,1789536525129,1789536525659,1,1,466,466,466,195099,3,1,1,0,0,PHASE,16389,16432,43,-860,-4539,11340,0,1,POSITIVE,PASS,UNPROVEN,1,0,7227,1,0,0
F4I,DE5 [1-11.2],,1789536527689,1789536527953,1,1,468,468,468,202323,3,1,1,0,0,PHASE,16387,16428,41,-820,-6923,11152,0,1,POSITIVE,PASS,UNPROVEN,1,0,7224,1,0,0
F4I,DE5 [1-11.2],,1789536530033,1789536530295,1,1,470,470,470,209546,3,1,1,0,0,PHASE,16393,16429,36,-720,7650,12073,0,1,POSITIVE,PASS,UNPROVEN,1,0,7223,1,0,0
F4I,DE5 [1-11.2],,1789536531251,1789536531512,1,1,472,472,472,216772,3,1,1,0,0,PHASE,16388,16430,42,-840,5058,12032,0,1,POSITIVE,PASS,UNPROVEN,1,0,7226,1,0,0
F4I,DE5 [1-11.2],,1789536533605,1789536533868,1,1,474,474,474,224007,3,1,1,0,0,PHASE,16390,16439,49,-980,-225,11511,0,1,POSITIVE,PASS,UNPROVEN,1,0,7235,1,0,0
F4I,DE5 [1-11.2],,1789536534819,1789536535085,1,1,476,476,476,231226,3,1,1,0,0,PHASE,16377,16427,50,-1000,-7992,10832,0,1,POSITIVE,PASS,UNPROVEN,1,0,7219,1,0,0
F4I,DE5 [1-11.2],,1789536537232,1789536537498,1,1,478,478,478,238459,1,1,0,0,0,FREQUENCY,16384,16431,47,-940,-960,11443,0,1,POSITIVE,PASS,UNPROVEN,1,0,7233,1,0,0
F4I,DE5 [1-11.2],,1789536538448,1789536538975,1,1,,,480,245684,3,1,1,0,0,PHASE,16376,16429,53,-1060,4326,11881,0,1,POSITIVE,PASS,UNPROVEN,1,0,7225,1,0,0
F4I,DE5 [1-11.2],,1789536541142,1789536541408,1,1,,,482,252905,3,1,1,0,0,PHASE,16377,16430,53,-1060,-4480,11040,0,1,POSITIVE,PASS,UNPROVEN,1,0,7221,1,0,0
F4I,DE5 [1-11.2],,1789536542288,1789536542816,1,1,,,484,260136,3,1,1,0,0,PHASE,16391,16426,35,-700,6559,11850,0,1,POSITIVE,PASS,UNPROVEN,1,0,7231,1,0,0
