ROLE,BOARD,CYCLE,HOST_START_MS,HOST_END_MS,ELAPSED_MS,CONTEXT_DURATION_MS,HELPER_ATTEMPTS,HELPER_CORE_VALID,HELPER_UPDATE_COUNT,HELPER_STATE_VALID,HELPER_LOCKED,HELPER_LOCK_COUNT,POSITION_VALID,HELPER_RESIDUAL_PRESENT,HELPER_TARGET_CODE,HELPER_APPLIED_CODE,HELPER_NORMAL_REQUEST,HELPER_NORMAL_COMPLETED,HELPER_BOOTSTRAP_DONE,MAIN_PRODUCER_VALID,MAIN_UPDATE_ID,MAIN_UPDATE_ADVANCED,MAIN_BRANCH_ID,WR_CORE_VALID,PHY_LINK_USABLE,PSTAT_LOCKED,TERMINAL,SERVICE_READ,STOP_REASON
SLAVE,DE5 [1-11.2],1,1789541080359,1789541081110,752,751,2,1,129346,1,1,1000,1,1,58984,59013,3814,3814,1,1,101155,0,2,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],2,1789541081305,1789541082004,1646,699,1,1,132779,1,1,1000,1,1,59029,59013,3848,3848,1,1,108381,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],3,1789541082104,1789541082784,2426,680,1,1,135831,1,1,1000,1,1,58879,58885,3900,3900,1,1,108381,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],4,1789541082884,1789541083573,3215,689,1,1,138883,1,1,1000,1,1,59079,59077,3937,3937,1,1,115608,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],5,1789541083674,1789541084361,4003,687,1,1,141934,1,1,1000,1,1,58944,58949,3985,3985,1,1,115608,0,2,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],6,1789541084553,1789541085682,5324,1129,2,1,145367,1,1,1000,1,1,59084,59077,4037,4037,1,1,122835,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],7,1789541085783,1789541086471,6113,688,1,1,149945,1,1,1000,1,1,59153,59141,4104,4104,1,1,122835,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],8,1789541086571,1789541087653,7295,1082,1,1,152996,1,1,1000,1,1,59154,59141,4184,4184,1,1,130062,1,2,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],9,1789541087855,1789541088622,8264,767,2,1,157955,1,1,1000,0,,,,4299,,,1,130062,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],10,1789541088722,1789541089404,9046,682,1,1,161007,1,1,1000,1,1,59078,59077,4341,4341,1,1,137289,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],11,1789541089504,1789541090207,9849,703,1,1,164058,1,1,1000,1,1,59243,59269,4446,4446,1,1,137289,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],12,1789541090308,1789541091394,11036,1086,1,1,167110,1,1,1000,1,1,59424,59397,4544,4544,1,1,144516,1,2,1,1,0,0,1,NONE
