ROLE,BOARD,CYCLE,HOST_START_MS,HOST_END_MS,ELAPSED_MS,CONTEXT_DURATION_MS,HELPER_ATTEMPTS,HELPER_CORE_VALID,HELPER_UPDATE_COUNT,HELPER_STATE_VALID,HELPER_LOCKED,HELPER_LOCK_COUNT,POSITION_VALID,HELPER_RESIDUAL_PRESENT,HELPER_TARGET_CODE,HELPER_APPLIED_CODE,HELPER_NORMAL_REQUEST,HELPER_NORMAL_COMPLETED,HELPER_BOOTSTRAP_DONE,MAIN_PRODUCER_VALID,MAIN_UPDATE_ID,MAIN_UPDATE_ADVANCED,MAIN_BRANCH_ID,WR_CORE_VALID,PHY_LINK_USABLE,PSTAT_LOCKED,TERMINAL,SERVICE_READ,STOP_REASON
SLAVE,DE5 [1-11.2],1,1789545016333,1789545017035,703,702,1,1,97038,1,1,1000,1,1,57866,57861,3276,3276,1,1,72229,0,2,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],2,1789545017230,1789545017989,1657,759,2,1,100852,1,1,1000,1,1,57713,57733,3356,3356,1,1,79455,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],3,1789545018090,1789545018778,2446,688,1,1,103904,1,1,1000,1,1,57865,57861,3416,3416,1,1,79455,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],4,1789545018879,1789545019999,3667,1120,2,1,106955,1,1,1000,1,1,57908,57925,3465,3465,1,1,86682,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],5,1789545020101,1789545020811,4479,710,1,1,111533,1,1,1000,0,,,,3587,,,1,86682,0,2,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],6,1789545021009,1789545021712,5380,703,1,1,114966,1,1,1000,1,1,58114,58117,3642,3642,1,1,93910,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],7,1789545021812,1789545022524,6192,712,1,1,118017,1,1,1000,1,1,58082,58053,3700,3699,1,1,93910,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],8,1789545022624,1789545023707,7375,1083,1,1,121069,1,1,1000,1,1,57891,57925,3755,3753,1,1,101136,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],9,1789545023808,1789545024532,8200,724,1,1,125646,1,1,1000,0,,,,3861,,,1,101136,0,2,1,1,0,0,1,NONE
SLAVE,DE5 [1-11.2],10,1789545024724,1789545025406,9074,682,1,1,129079,1,1,1000,1,1,58186,58181,3923,3923,1,1,108362,1,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],11,1789545025506,1789545026194,9862,688,1,1,132131,1,1,1000,1,1,58127,58117,3994,3994,1,1,108362,0,2,1,1,0,0,0,NONE
SLAVE,DE5 [1-11.2],12,1789545026295,1789545027366,11034,1071,1,1,135183,1,1,1000,1,1,57855,57861,4060,4060,1,1,115589,1,2,1,1,0,0,0,NONE
