role,board,sample,timestamp_ms,read_valid,si_config_done,wr_ready,wr_rx_ready,wr_tx_ready,core_tm_link_up,core_link_ok,wr_rx_locked_to_data,cpu_reset_n,ptp_state,pd_state,ext_state,wr_state_value,wr_tx_id,wr_disable_valid,wr_disable_cause,wr_failure_reason,lock_polls,lock_unlocked,lock_calib_fail,lock_enable,lock_success_count,spll_seq_state,pstat_locked,helper_locked,main_enabled,main_locked,main_freq_locked,main_phase_locked,boot_generation,cpu_reset_count,wr_core_reset_count,si_config_drop_count,slock_stage,slock_remaining_ms,first_slock_ms,first_success_ms,first_exit_ms,first_failure_ms,pass_ready,failure_seen,failure_class,post_event_samples,stop_candidate,same_reset_as_previous,timestamp_gap_ms
MASTER,DE5 [1-11.1],0,0,1,1,1,1,1,0,0,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,14,0,-1,-1,-1,-1,0,0,NONE,0,NONE,0,
MASTER,DE5 [1-11.1],1,693,1,1,1,1,1,0,0,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,14,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,693
MASTER,DE5 [1-11.1],2,1395,1,1,1,1,1,0,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,702
MASTER,DE5 [1-11.1],3,2095,1,1,1,1,1,0,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,700
MASTER,DE5 [1-11.1],4,2797,1,1,1,1,1,0,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,702
MASTER,DE5 [1-11.1],5,3501,1,1,1,1,1,0,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,704
MASTER,DE5 [1-11.1],6,4204,1,1,1,1,1,0,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,703
MASTER,DE5 [1-11.1],7,4904,1,1,1,1,1,0,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,12,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,700
MASTER,DE5 [1-11.1],8,5607,1,1,1,1,1,0,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,12,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,703
MASTER,DE5 [1-11.1],9,6308,1,1,1,1,1,0,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,12,0,-1,-1,-1,-1,0,0,NONE,0,NONE,1,701
