Info: *******************************************************************
Info: Running Quartus Prime SignalTap II
    Info: Version 17.0.0 Build 595 04/25/2017 SJ Standard Edition
    Info: Copyright (C) 2017  Intel Corporation. All rights reserved.
    Info: Your use of Intel Corporation's design tools, logic functions 
    Info: and other software and tools, and its AMPP partner logic 
    Info: functions, and any output files from any of the foregoing 
    Info: (including device programming or simulation files), and any 
    Info: associated documentation or information are expressly subject 
    Info: to the terms and conditions of the Intel Program License 
    Info: Subscription Agreement, the Intel Quartus Prime License Agreement,
    Info: the Intel MegaCore Function License Agreement, or other 
    Info: applicable license agreement, including, without limitation, 
    Info: that your use is for the sole purpose of programming logic 
    Info: devices manufactured by Intel and sold by Intel or its 
    Info: authorized distributors.  Please refer to the applicable 
    Info: agreement for further details.
    Info: Processing started: Thu Sep 24 10:40:57 2026
Info: Command: quartus_stp -t scripts/jtag/read_step1_phy_link.tcl 360 100
Info: Quartus(args): 360 100
STEP1_CAPTURE_CONFIG samples=360 gap_ms=100 probe_instance=0 read_only=1
STEP1_BOARD_BEGIN board="DE5 [1-11.1]" device="@1: 10AX115H(1|2|2E2|2ES|3|3E3)/.. (0x02E660DD)"
STEP1_SAMPLE board="DE5 [1-11.1]" n=0001 elapsed_ms=0 read_ok=1 raw=101E766137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0002 elapsed_ms=103 read_ok=1 raw=101E7643375C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0003 elapsed_ms=205 read_ok=1 raw=101E7661373C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0004 elapsed_ms=308 read_ok=1 raw=101E7643375C82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0005 elapsed_ms=410 read_ok=1 raw=101EF26137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0006 elapsed_ms=512 read_ok=1 raw=101EF26137BC82FF
STEP1_SAMPLE board="DE5 [1-11.1]" n=0007 elapsed_ms=615 read_ok=1 raw=101EF2E327D082FF
